1.8708,0.0134,30.24,2.67,-137.474,1.27,25
1.8588,0.0031,38.24,3.55,-141.647,0.809,25
1.8411,0.0142,40.68,5,-144.327,1.708,28
1.8194,0.0126,40.28,6.54,-150.537,1.608,25
1.8009,0.0245,44.76,7.96,-159.591,2.63,25
1.7724,0.0311,43.19,5.91,177.956,33.469,27
1.765,0.0226,44,7.75,167.082,2.579,25
1.7334,0.0414,44.16,7.03,145.294,3.481,25
1.7293,0.0327,47.68,7.09,116.298,2.658,25
1.7147,0.0122,49.52,4.97,89.802,1.398,25
1.6972,0.0217,48.31,5.61,78.066,1.201,26
1.6927,0.0182,46.12,4.77,74.687,1.775,25
1.6719,0.0353,40.24,4.17,71.02,1.91,25
1.6724,0.0204,36.2,3.57,67.456,1.286,25
1.6514,0.0121,33.44,2.93,62.923,1.448,25
1.6237,0.0099,29.36,2.6,60.319,1.228,25
1.604,0.0022,28,1.44,57.814,0.592,25
1.6125,0.0189,29,2.1,59.117,0.887,25
1.594,0.0039,26.28,0.68,56.647,1.179,25
1.5735,0.0039,24.16,0.99,54.651,1.068,25
1.5575,0.0028,22,0,53.604,0.691,25
1.7178,0.0452,46.16,6.41,118.557,3.156,25
1.7293,0.0378,47,7.91,119.876,3.204,25
1.8634,0.0467,30.58,7.89,-117.537,62.85,25
1.9112,0.011,19.54,1.61,-135.608,4.659,26
1.9936,0.0436,11.08,1.93,-138.712,11.653,25
