Laatste: Tijd (ms),Laatste: Potential 1 (V),Laatste: Potential 2 (V)
0.0,2.43,6.063
0.2,1.756,5.692
0.4,1.038,5.17
0.6,0.32,4.457
0.8,-0.43700000000000006,3.597
1.0,-1.179,2.625
1.2,-1.8880000000000001,1.57
1.4,-2.513,0.486
1.6,-3.074,-0.637
1.8,-3.534,-1.756
2.0,-3.895,-2.7960000000000003
2.2,-4.129,-3.763
2.4,-4.217,-4.598
2.6,-4.164,-5.267
2.8,-3.963,-5.746
3.0,-3.6310000000000002,-6.0
3.2,-3.114,-6.005
3.4,-2.488,-5.805
3.6,-1.79,-5.394
3.8,-1.028,-4.763999999999999
4.0,-0.212,-3.983
4.2,0.579,-3.045
4.4,1.355,-2.044
4.6,2.049,-0.93
4.8,2.698,0.198
5.0,3.241,1.3259999999999998
5.2,3.661,2.41
5.4,3.958,3.411
5.6,4.115,4.295
5.8,4.1339999999999995,5.043
6.0,4.012,5.6339999999999995
6.2,3.763,6.044
6.4,3.407,6.239
6.6,2.8789999999999996,6.215
6.8,2.278,6.0
7.0,1.609,5.59
7.2,0.8859999999999999,5.0280000000000005
7.4,0.149,4.276
7.6,-0.603,3.397
7.8,-1.3359999999999999,2.391
8.0,-2.029,1.35
8.2,-2.64,0.242
8.4,-3.1719999999999997,-0.877
8.6,-3.6210000000000004,-1.98
8.8,-3.958,-3.0260000000000002
9.0,-4.159,-3.963
9.2,-4.2219999999999995,-4.763999999999999
9.4,-4.1339999999999995,-5.388999999999999
9.6,-3.9,-5.819
9.8,-3.534,-6.02
10.0,-2.9819999999999998,-5.98
10.2,-2.342,-5.736000000000001
10.4,-1.629,-5.272
10.6,-0.847,-4.6080000000000005
10.8,-0.046,-3.802
11.0,0.75,-2.83
11.2,1.516,-1.8
11.4,2.205,-0.6759999999999999
11.6,2.83,0.452
11.8,3.343,1.575
12.0,3.734,2.64
12.2,4.002,3.6069999999999998
12.4,4.129,4.471
12.6,4.115,5.189
12.8,3.9730000000000003,5.736000000000001
13.0,3.7,6.122000000000001
13.2,3.2939999999999996,6.254
13.4,2.752,6.19
13.6,2.127,5.9270000000000005
13.8,1.4380000000000002,5.473
14.0,0.73,4.867
14.2,-0.027000000000000003,4.09
14.4,-0.764,3.1919999999999997
14.6,-1.4969999999999999,2.171
14.8,-2.166,1.1059999999999999
15.0,-2.762,0.002
15.2,-3.284,-1.131
15.4,-3.705,-2.225
15.6,-4.0169999999999995,-3.25
15.8,-4.188,-4.159
16.0,-4.212,-4.9110000000000005
16.2,-4.085,-5.497000000000001
16.4,-3.827,-5.888
16.6,-3.411,-6.024
16.8,-2.85,-5.941
17.0,-2.186,-5.648
17.2,-1.4680000000000002,-5.14
17.4,-0.667,-4.437
17.6,0.134,-3.582
17.8,0.94,-2.596
18.0,1.673,-1.551
18.2,2.3569999999999998,-0.42200000000000004
18.4,2.957,0.706
18.6,3.4410000000000003,1.81
18.8,3.812,2.86
19.0,4.042,3.812
19.2,4.144,4.6419999999999995
19.4,4.1,5.321000000000001
19.6,3.9189999999999996,5.8389999999999995
19.8,3.6210000000000004,6.171
20.0,3.182,6.254
