Laatste: Tijd (s),Laatste: Potential 1 (V),Laatste: Potential 2 (V)
0.0336,-0.237,4.032
0.0338,-0.242,3.983
0.034,-0.247,3.9389999999999996
0.0342,-0.247,3.885
0.0344,-0.247,3.841
0.0346,-0.247,3.792
0.0348,-0.247,3.748
0.035,-0.252,3.705
0.0352,-0.252,3.6460000000000004
0.0354,-0.252,3.602
0.0356,-0.252,3.548
0.0358,-0.256,3.4989999999999997
0.036,-0.252,3.455
0.0362,-0.256,3.407
0.0364,-0.256,3.353
0.0366,-0.256,3.3139999999999996
0.0368,-0.256,3.255
0.037,-0.256,3.2110000000000003
0.0372,-0.261,3.158
0.0374,-0.266,3.1039999999999996
0.0376,-0.261,3.055
0.0378,-0.261,3.0060000000000002
0.038,-0.266,2.957
0.0382,-0.261,2.9130000000000003
0.0384,-0.266,2.855
0.0386,-0.266,2.806
0.0388,-0.266,2.752
0.039,-0.271,2.698
0.0392,-0.271,2.65
0.0394,-0.271,2.6060000000000003
0.0396,-0.271,2.552
0.0398,-0.266,2.503
0.04,-0.266,2.444
0.0402,-0.266,2.396
0.0404,-0.271,2.342
0.0406,-0.276,2.283
0.0408,-0.276,2.239
0.041,-0.271,2.186
0.0412,-0.271,2.137
0.0414,-0.271,2.088
0.0416,-0.271,2.029
0.0418,-0.276,1.976
0.042,-0.276,1.9269999999999998
0.0422,-0.276,1.8630000000000002
0.0424,-0.276,1.819
0.0426,-0.276,1.766
0.0428,-0.276,1.712
0.043,-0.276,1.663
0.0432,-0.276,1.609
0.0434,-0.276,1.556
0.0436,-0.281,1.5019999999999998
0.0438,-0.281,1.4480000000000002
0.044,-0.281,1.3940000000000001
0.0442,-0.276,1.341
0.0444,-0.281,1.2919999999999998
0.0446,-0.276,1.2329999999999999
0.0448,-0.281,1.179
0.045,-0.28600000000000003,1.126
0.0452,-0.28600000000000003,1.067
0.0454,-0.28600000000000003,1.018
0.0456,-0.281,0.965
0.0458,-0.28600000000000003,0.9109999999999999
0.046,-0.281,0.862
0.0462,-0.281,0.8079999999999999
0.0464,-0.281,0.75
0.0466,-0.281,0.696
0.0468,-0.28600000000000003,0.637
0.047,-0.29100000000000004,0.579
0.0472,-0.28600000000000003,0.53
0.0474,-0.28600000000000003,0.47600000000000003
0.0476,-0.28600000000000003,0.42200000000000004
0.0478,-0.28600000000000003,0.369
0.048,-0.28600000000000003,0.31
0.0482,-0.28600000000000003,0.261
0.0484,-0.29100000000000004,0.203
0.0486,-0.29100000000000004,0.14400000000000002
0.0488,-0.28600000000000003,0.095
0.049,-0.29100000000000004,0.042
0.0492,-0.28600000000000003,-0.006999999999999999
0.0494,-0.28600000000000003,-0.066
0.0496,-0.29100000000000004,-0.12
0.0498,-0.28600000000000003,-0.17300000000000001
0.05,-0.28600000000000003,-0.23199999999999998
0.0502,-0.29100000000000004,-0.29100000000000004
0.0504,-0.28600000000000003,-0.33899999999999997
0.0506,-0.28600000000000003,-0.39299999999999996
0.0508,-0.29100000000000004,-0.447
0.051,-0.28600000000000003,-0.496
0.0512,-0.28600000000000003,-0.5539999999999999
0.0514,-0.28600000000000003,-0.613
0.0516,-0.29100000000000004,-0.662
0.0518,-0.29100000000000004,-0.72
0.052,-0.28600000000000003,-0.774
0.0522,-0.281,-0.823
0.0524,-0.29100000000000004,-0.877
0.0526,-0.281,-0.93
0.0528,-0.28600000000000003,-0.9890000000000001
0.053,-0.29100000000000004,-1.043
0.0532,-0.29100000000000004,-1.101
0.0534,-0.29100000000000004,-1.15
0.0536,-0.28600000000000003,-1.199
0.0538,-0.28600000000000003,-1.258
0.054,-0.28600000000000003,-1.311
0.0542,-0.28600000000000003,-1.36
0.0544,-0.281,-1.419
0.0546,-0.28600000000000003,-1.482
0.0548,-0.29100000000000004,-1.531
0.055,-0.29100000000000004,-1.585
0.0552,-0.28600000000000003,-1.6340000000000001
0.0554,-0.28600000000000003,-1.6869999999999998
0.0556,-0.28600000000000003,-1.736
0.0558,-0.281,-1.795
0.056,-0.28600000000000003,-1.849
0.0562,-0.28600000000000003,-1.9069999999999998
0.0564,-0.28600000000000003,-1.9609999999999999
0.0566,-0.281,-2.005
0.0568,-0.281,-2.063
0.057,-0.28600000000000003,-2.117
0.0572,-0.281,-2.166
0.0574,-0.276,-2.215
0.0576,-0.281,-2.274
0.0578,-0.281,-2.332
0.058,-0.28600000000000003,-2.386
0.0582,-0.29100000000000004,-2.435
0.0584,-0.281,-2.484
0.0586,-0.281,-2.537
0.0588,-0.281,-2.5860000000000003
0.059,-0.276,-2.64
0.0592,-0.276,-2.694
0.0594,-0.276,-2.747
0.0596,-0.281,-2.801
0.0598,-0.281,-2.845
0.06,-0.281,-2.8989999999999996
0.0602,-0.276,-2.947
0.0604,-0.271,-2.9960000000000004
0.0606,-0.271,-3.05
0.0608,-0.276,-3.0989999999999998
0.061,-0.276,-3.153
0.0612,-0.276,-3.2060000000000004
0.0614,-0.271,-3.255
0.0616,-0.271,-3.299
0.0618,-0.266,-3.353
0.062,-0.266,-3.4019999999999997
0.0622,-0.271,-3.451
0.0624,-0.266,-3.5039999999999996
0.0626,-0.271,-3.553
0.0628,-0.271,-3.602
0.063,-0.266,-3.6510000000000002
0.0632,-0.261,-3.7
0.0634,-0.261,-3.7439999999999998
0.0636,-0.261,-3.792
0.0638,-0.256,-3.846
0.064,-0.261,-3.89
0.0642,-0.261,-3.944
0.0644,-0.261,-3.998
0.0646,-0.261,-4.037
0.0648,-0.261,-4.081
0.065,-0.256,-4.129
0.0652,-0.252,-4.178
0.0654,-0.252,-4.2219999999999995
0.0656,-0.256,-4.271
0.0658,-0.256,-4.325
0.066,-0.256,-4.369
0.0662,-0.256,-4.413
0.0664,-0.252,-4.457
0.0666,-0.252,-4.501
0.0668,-0.247,-4.545
0.067,-0.247,-4.593
0.0672,-0.247,-4.6419999999999995
0.0674,-0.252,-4.686
0.0676,-0.252,-4.73
0.0678,-0.242,-4.774
0.068,-0.242,-4.813
0.0682,-0.242,-4.857
0.0684,-0.237,-4.901
0.0686,-0.242,-4.95
0.0688,-0.242,-4.994
0.069,-0.237,-5.033
0.0692,-0.237,-5.072
0.0694,-0.237,-5.1160000000000005
0.0696,-0.23199999999999998,-5.16
0.0698,-0.23199999999999998,-5.194
0.07,-0.22699999999999998,-5.233
0.0702,-0.23199999999999998,-5.282
0.0704,-0.23199999999999998,-5.321000000000001
0.0706,-0.22699999999999998,-5.37
0.0708,-0.23199999999999998,-5.404
0.071,-0.222,-5.443
0.0712,-0.222,-5.477
0.0714,-0.217,-5.516
0.0716,-0.217,-5.56
0.0718,-0.217,-5.6
0.072,-0.217,-5.638999999999999
0.0722,-0.217,-5.678
0.0724,-0.212,-5.712000000000001
0.0726,-0.212,-5.751
0.0728,-0.212,-5.785
0.073,-0.20800000000000002,-5.819
0.0732,-0.203,-5.858
0.0734,-0.20800000000000002,-5.897
0.0736,-0.20800000000000002,-5.937
0.0738,-0.20800000000000002,-5.976
0.074,-0.203,-6.005
0.0742,-0.198,-6.039
0.0744,-0.198,-6.0729999999999995
0.0746,-0.193,-6.107
0.0748,-0.193,-6.147
0.075,-0.193,-6.181
0.0752,-0.193,-6.215
0.0754,-0.193,-6.249
0.0756,-0.188,-6.274
0.0758,-0.183,-6.308
0.076,-0.183,-6.3420000000000005
0.0762,-0.183,-6.371
0.0764,-0.183,-6.405
0.0766,-0.183,-6.44
0.0768,-0.188,-6.474
0.077,-0.183,-6.502999999999999
0.0772,-0.17300000000000001,-6.532
0.0774,-0.17300000000000001,-6.562
0.0776,-0.17300000000000001,-6.586
0.0778,-0.168,-6.62
0.078,-0.17300000000000001,-6.654
0.0782,-0.17300000000000001,-6.684
0.0784,-0.168,-6.712999999999999
0.0786,-0.168,-6.733
0.0788,-0.16399999999999998,-6.7620000000000005
0.079,-0.16399999999999998,-6.7860000000000005
0.0792,-0.159,-6.816
0.0794,-0.154,-6.835
0.0796,-0.159,-6.869
0.0798,-0.159,-6.899
0.08,-0.159,-6.922999999999999
0.0802,-0.154,-6.943
0.0804,-0.149,-6.9670000000000005
0.0806,-0.14400000000000002,-6.9910000000000005
0.0808,-0.14400000000000002,-7.011
0.081,-0.139,-7.031000000000001
0.0812,-0.139,-7.055
0.0814,-0.139,-7.084
0.0816,-0.139,-7.109
0.0818,-0.14400000000000002,-7.127999999999999
0.082,-0.134,-7.148
0.0822,-0.129,-7.167000000000001
0.0824,-0.129,-7.187
0.0826,-0.125,-7.206
0.0828,-0.125,-7.231
0.083,-0.125,-7.25
0.0832,-0.129,-7.275
0.0834,-0.12,-7.289
0.0836,-0.12,-7.303999999999999
0.0838,-0.115,-7.324
0.084,-0.115,-7.337999999999999
0.0842,-0.105,-7.358
0.0844,-0.11,-7.377000000000001
0.0846,-0.11,-7.397
0.0848,-0.11,-7.4110000000000005
0.085,-0.11,-7.431
0.0852,-0.105,-7.446000000000001
0.0854,-0.1,-7.455
0.0856,-0.095,-7.465
0.0858,-0.095,-7.48
0.086,-0.095,-7.499
0.0862,-0.09,-7.513999999999999
