Laatste: Tijd (ms),Laatste: Potential 1 (V),Laatste: Potential 2 (V)
0.0,1.912,-2.4
0.2,2.151,-1.746
0.4,2.352,-1.082
0.6,2.532,-0.408
0.8,2.6889999999999996,0.266
1.0,2.8110000000000004,0.93
1.2,2.9130000000000003,1.595
1.4,2.987,2.244
1.6,3.035,2.8789999999999996
1.8,3.04,3.485
2.0,3.031,4.051
2.2,2.991,4.579
2.4,2.923,5.072
2.6,2.825,5.516
2.8,2.698,5.902
3.0,2.5469999999999997,6.249
3.2,2.386,6.537000000000001
3.4,2.2,6.772
3.6,1.99,6.947
3.8,1.766,7.026
4.0,1.4969999999999999,7.04
4.2,1.219,7.001
4.4,0.94,6.894
4.6,0.657,6.747000000000001
4.8,0.379,6.527
5.0,0.1,6.249
5.2,-0.198,5.912000000000001
5.4,-0.486,5.521
5.6,-0.774,5.087
5.8,-1.048,4.603
6.0,-1.3159999999999998,4.0760000000000005
6.2,-1.57,3.514
6.4,-1.814,2.918
6.6,-2.0340000000000003,2.3080000000000003
6.8,-2.234,1.683
7.0,-2.41,1.028
7.2,-2.576,0.364
7.4,-2.718,-0.3
7.6,-2.84,-0.9740000000000001
7.8,-2.943,-1.629
8.0,-3.0060000000000002,-2.278
8.2,-3.05,-2.904
8.4,-3.065,-3.5039999999999996
8.6,-3.05,-4.071000000000001
8.8,-3.011,-4.598
9.0,-2.938,-5.092
9.2,-2.845,-5.531000000000001
9.4,-2.708,-5.907
9.6,-2.5469999999999997,-6.225
9.8,-2.366,-6.4879999999999995
10.0,-2.161,-6.689
10.2,-1.946,-6.811
10.4,-1.6780000000000002,-6.855
10.6,-1.3940000000000001,-6.83
10.8,-1.1059999999999999,-6.742000000000001
11.0,-0.794,-6.562
11.2,-0.47100000000000003,-6.327000000000001
11.4,-0.154,-6.024
11.6,0.159,-5.667999999999999
11.8,0.47100000000000003,-5.252999999999999
12.0,0.774,-4.779
12.2,1.082,-4.266
12.4,1.365,-3.714
12.6,1.629,-3.128
12.8,1.8780000000000001,-2.508
13.0,2.112,-1.858
13.2,2.327,-1.189
13.4,2.503,-0.52
13.6,2.659,0.149
13.8,2.786,0.818
14.0,2.8939999999999997,1.4869999999999999
14.2,2.977,2.142
14.4,3.0260000000000002,2.772
14.6,3.045,3.377
14.8,3.04,3.958
15.0,3.0010000000000003,4.496
15.2,2.938,4.989
15.4,2.84,5.438
15.6,2.718,5.8389999999999995
15.8,2.5810000000000004,6.19
16.0,2.41,6.492999999999999
16.2,2.23,6.737
16.4,2.0340000000000003,6.922999999999999
16.6,1.81,7.016
16.8,1.536,7.04
17.0,1.2670000000000001,7.006
17.2,0.9840000000000001,6.917999999999999
17.4,0.706,6.777
17.6,0.43200000000000005,6.571000000000001
17.8,0.14400000000000002,6.303
18.0,-0.149,5.976
18.2,-0.43700000000000006,5.595
18.4,-0.725,5.165
18.6,-0.9990000000000001,4.686
18.8,-1.272,4.159
19.0,-1.526,3.6069999999999998
19.2,-1.775,3.0210000000000004
19.4,-2.0,2.415
19.6,-2.2,1.78
19.8,-2.386,1.136
20.0,-2.552,0.47100000000000003
20.2,-2.698,-0.193
20.4,-2.821,-0.862
20.6,-2.923,-1.521
20.8,-2.9960000000000004,-2.176
21.0,-3.04,-2.806
21.2,-3.06,-3.407
21.4,-3.055,-3.983
21.6,-3.0210000000000004,-4.525
21.8,-2.957,-5.018
22.0,-2.86,-5.452999999999999
22.2,-2.728,-5.843999999999999
22.4,-2.576,-6.176
22.6,-2.396,-6.449
22.8,-2.2,-6.664
23.0,-1.985,-6.806
23.2,-1.722,-6.855
23.4,-1.4480000000000002,-6.845
23.6,-1.15,-6.757000000000001
23.8,-0.8420000000000001,-6.596
24.0,-0.525,-6.3660000000000005
