Laatste: Tijd (ms),Laatste: Potential 1 (V),Laatste: Potential 2 (V)
0.0,2.327,-0.779
0.2,2.43,-0.217
0.4,2.513,0.369
0.6,2.596,0.96
0.8,2.6639999999999997,1.546
1.0,2.708,2.117
1.2,2.737,2.679
1.4,2.742,3.2110000000000003
1.6,2.728,3.7289999999999996
1.8,2.694,4.212
2.0,2.64,4.681
2.2,2.576,5.111000000000001
2.4,2.4930000000000003,5.5120000000000005
2.6,2.396,5.872999999999999
2.8,2.278,6.195
3.0,2.147,6.474
3.2,2.0,6.712999999999999
3.4,1.844,6.912999999999999
3.6,1.6780000000000002,7.074
3.8,1.507,7.172000000000001
4.0,1.2919999999999998,7.206
4.2,1.082,7.2010000000000005
4.4,0.867,7.153
4.6,0.642,7.055
4.8,0.42200000000000004,6.912999999999999
5.0,0.20800000000000002,6.728
5.2,-0.017,6.492999999999999
5.4,-0.237,6.225
5.6,-0.462,5.907
5.8,-0.6759999999999999,5.56
6.0,-0.8859999999999999,5.17
6.2,-1.092,4.75
6.4,-1.297,4.291
6.6,-1.492,3.802
6.8,-1.6780000000000002,3.2889999999999997
7.0,-1.844,2.772
7.2,-1.995,2.23
7.4,-2.137,1.673
7.6,-2.2640000000000002,1.111
7.8,-2.376,0.53
8.0,-2.479,-0.055999999999999994
8.2,-2.5669999999999997,-0.637
8.4,-2.64,-1.219
8.6,-2.6889999999999996,-1.795
8.8,-2.7230000000000003,-2.352
9.0,-2.742,-2.8989999999999996
9.2,-2.747,-3.431
9.4,-2.728,-3.9389999999999996
9.6,-2.694,-4.422
9.8,-2.645,-4.867
10.0,-2.5669999999999997,-5.282
10.2,-2.469,-5.6579999999999995
10.4,-2.352,-5.995
10.6,-2.225,-6.2829999999999995
10.8,-2.0780000000000003,-6.537000000000001
11.0,-1.922,-6.737
11.2,-1.756,-6.9079999999999995
11.4,-1.575,-7.001
11.6,-1.355,-7.04
11.8,-1.126,-7.016
12.0,-0.8959999999999999,-6.943
12.2,-0.647,-6.816
12.4,-0.39799999999999996,-6.64
12.6,-0.159,-6.415
12.8,0.081,-6.147
13.0,0.32,-5.8389999999999995
13.2,0.5589999999999999,-5.473
13.4,0.8029999999999999,-5.067
13.6,1.033,-4.632
13.8,1.253,-4.164
14.0,1.4580000000000002,-3.665
14.2,1.643,-3.158
14.4,1.819,-2.615
14.6,1.99,-2.059
14.8,2.142,-1.482
15.0,2.2880000000000003,-0.8909999999999999
15.2,2.405,-0.305
15.4,2.508,0.28600000000000003
15.6,2.591,0.877
15.8,2.654,1.4580000000000002
16.0,2.698,2.024
16.2,2.728,2.5810000000000004
16.4,2.737,3.123
16.6,2.728,3.6460000000000004
16.8,2.7030000000000003,4.149
17.0,2.659,4.618
17.2,2.591,5.048
17.4,2.508,5.457999999999999
17.6,2.41,5.819
17.8,2.293,6.1370000000000005
18.0,2.161,6.44
18.2,2.02,6.684
18.4,1.8730000000000002,6.894
18.6,1.7069999999999999,7.06
18.8,1.531,7.162000000000001
19.0,1.331,7.206
19.2,1.111,7.206
19.4,0.8909999999999999,7.153
19.6,0.6759999999999999,7.07
19.8,0.462,6.938
20.0,0.247,6.767
20.2,0.022000000000000002,6.542000000000001
20.4,-0.203,6.269
20.6,-0.42700000000000005,5.961
20.8,-0.652,5.609
21.0,-0.862,5.223
21.2,-1.062,4.8180000000000005
21.4,-1.2670000000000001,4.369
21.6,-1.453,3.885
21.8,-1.639,3.377
22.0,-1.819,2.85
22.2,-1.976,2.3080000000000003
22.4,-2.122,1.756
22.6,-2.254,1.189
22.8,-2.3609999999999998,0.613
23.0,-2.459,0.027000000000000003
23.2,-2.5469999999999997,-0.545
23.4,-2.62,-1.126
23.6,-2.679,-1.7069999999999999
23.8,-2.7230000000000003,-2.274
24.0,-2.747,-2.83
24.2,-2.7569999999999997,-3.358
24.4,-2.733,-3.8710000000000004
24.6,-2.7030000000000003,-4.349
24.8,-2.645,-4.803
25.0,-2.571,-5.223
25.2,-2.488,-5.609
25.4,-2.381,-5.946000000000001
25.6,-2.249,-6.254
25.8,-2.1069999999999998,-6.513
26.0,-1.9509999999999998,-6.718
26.2,-1.78,-6.8839999999999995
26.4,-1.604,-6.9910000000000005
26.6,-1.38,-7.035
26.8,-1.16,-7.026
27.0,-0.93,-6.9670000000000005
27.2,-0.691,-6.845
27.4,-0.447,-6.669
27.6,-0.198,-6.454
27.8,0.046,-6.19
28.0,0.29100000000000004,-5.877999999999999
28.2,0.53,-5.526
28.4,0.769,-5.131
