Laatste: Tijd (ms),Laatste: Potential 1 (V),Laatste: Potential 2 (V)
0.0,-1.766,-6.034
0.2,-1.199,-5.662999999999999
0.4,-0.593,-5.155
0.6,0.002,-4.535
0.8,0.593,-3.8169999999999997
1.0,1.175,-3.011
1.2,1.702,-2.147
1.4,2.2,-1.219
1.6,2.65,-0.276
1.8,3.035,0.6759999999999999
2.0,3.343,1.614
2.2,3.582,2.508
2.4,3.739,3.363
2.6,3.812,4.129
2.8,3.7969999999999997,4.823
3.0,3.705,5.409
3.2,3.534,5.882999999999999
3.4,3.2939999999999996,6.249
3.6,2.987,6.474
3.8,2.5860000000000003,6.532
4.0,2.1319999999999997,6.454
4.2,1.6340000000000001,6.244
4.4,1.1059999999999999,5.9270000000000005
4.6,0.579,5.477
4.8,0.027000000000000003,4.9110000000000005
5.0,-0.525,4.256
5.2,-1.067,3.495
5.4,-1.585,2.659
5.6,-2.0780000000000003,1.78
5.8,-2.513,0.872
6.0,-2.904,-0.066
6.2,-3.241,-1.0090000000000001
6.4,-3.514,-1.9369999999999998
6.6,-3.7089999999999996,-2.8110000000000004
6.8,-3.832,-3.641
7.0,-3.8710000000000004,-4.388
7.2,-3.8169999999999997,-5.0280000000000005
7.4,-3.685,-5.56
7.6,-3.46,-5.971
7.8,-3.1719999999999997,-6.239
8.0,-2.781,-6.313
8.2,-2.303,-6.249
8.4,-1.79,-6.0489999999999995
8.6,-1.238,-5.687
8.8,-0.642,-5.194
9.0,-0.051,-4.598
9.2,0.545,-3.875
9.4,1.131,-3.0789999999999997
9.6,1.6580000000000001,-2.22
9.8,2.166,-1.3019999999999998
10.0,2.62,-0.349
10.2,3.0060000000000002,0.603
10.4,3.3280000000000003,1.536
10.6,3.563,2.44
10.8,3.7239999999999998,3.2939999999999996
11.0,3.802,4.071000000000001
11.2,3.802,4.779
11.4,3.719,5.365
11.6,3.548,5.858
11.8,3.3139999999999996,6.23
12.0,3.016,6.474
12.2,2.62,6.527
12.4,2.161,6.459
12.6,1.6680000000000001,6.263999999999999
12.8,1.145,5.956
13.0,0.623,5.521
13.2,0.071,4.965
13.4,-0.486,4.31
13.6,-1.023,3.5580000000000003
13.8,-1.551,2.718
14.0,-2.049,1.8530000000000002
14.2,-2.488,0.94
14.4,-2.8739999999999997,0.002
14.6,-3.2110000000000003,-0.935
14.8,-3.485,-1.858
15.0,-3.695,-2.747
15.2,-3.822,-3.5780000000000003
15.4,-3.8710000000000004,-4.3389999999999995
15.6,-3.827,-4.994
15.8,-3.7,-5.531000000000001
16.0,-3.485,-5.941
16.2,-3.1919999999999997,-6.225
16.4,-2.8110000000000004,-6.313
16.6,-2.342,-6.2589999999999995
16.8,-1.834,-6.068
17.0,-1.2819999999999998,-5.731
17.2,-0.696,-5.242999999999999
17.4,-0.095,-4.647
17.6,0.501,-3.9389999999999996
17.8,1.087,-3.138
18.0,1.629,-2.283
18.2,2.127,-1.37
18.4,2.5860000000000003,-0.42200000000000004
18.6,2.977,0.51
18.8,3.299,1.4580000000000002
19.0,3.5380000000000003,2.371
19.2,3.714,3.2310000000000003
19.4,3.802,4.0169999999999995
19.6,3.807,4.73
19.8,3.7289999999999996,5.331
20.0,3.573,5.819
20.2,3.333,6.2
20.4,3.035,6.449
20.6,2.645,6.518
20.8,2.195,6.474
21.0,1.712,6.292999999999999
21.2,1.194,5.99
21.4,0.672,5.565
21.6,0.12,5.0089999999999995
21.8,-0.442,4.364
22.0,-0.9890000000000001,3.617
22.2,-1.521,2.786
22.4,-2.01,1.9269999999999998
22.6,-2.444,1.018
22.8,-2.84,0.09
23.0,-3.187,-0.857
23.2,-3.47,-1.79
23.4,-3.685,-2.6889999999999996
23.6,-3.822,-3.5239999999999996
23.8,-3.8710000000000004,-4.291
24.0,-3.8360000000000003,-4.94
24.2,-3.7089999999999996,-5.487
24.4,-3.5039999999999996,-5.912000000000001
24.6,-3.216,-6.2
24.8,-2.84,-6.308
25.0,-2.376,-6.269
25.2,-1.8730000000000002,-6.087999999999999
25.4,-1.331,-5.766
25.6,-0.74,-5.282
25.8,-0.139,-4.691
26.0,0.457,-3.9930000000000003
26.2,1.038,-3.197
26.4,1.585,-2.3609999999999998
26.6,2.093,-1.443
26.8,2.542,-0.501
27.0,2.947,0.452
27.2,3.275,1.3940000000000001
27.4,3.534,2.3080000000000003
27.6,3.705,3.167
27.8,3.7969999999999997,3.968
28.0,3.812,4.676
28.2,3.739,5.277
28.4,3.5780000000000003,5.785
28.6,3.3480000000000003,6.176
28.8,3.06,6.44
29.0,2.6839999999999997,6.527
29.2,2.239,6.479
29.4,1.751,6.313
29.6,1.238,6.01
29.8,0.701,5.6
30.0,0.149,5.111000000000001
