Laatste: Tijd (ms),Laatste: Potential 1 (V),Laatste: Potential 2 (V)
0.0,3.998,5.35
0.2,3.812,5.853
0.4,3.529,6.205
0.6,3.138,6.332000000000001
0.8,2.625,6.278
1.0,2.044,6.053999999999999
1.2,1.419,5.662999999999999
1.4,0.759,5.136
1.6,0.081,4.442
1.8,-0.608,3.6210000000000004
2.0,-1.272,2.6889999999999996
2.2,-1.9169999999999998,1.712
2.4,-2.484,0.667
2.6,-2.987,-0.39799999999999996
2.8,-3.431,-1.4580000000000002
3.0,-3.7680000000000002,-2.488
3.2,-3.998,-3.4210000000000003
3.4,-4.11,-4.276
3.6,-4.1,-4.989
3.8,-3.958,-5.546
4.0,-3.7,-5.937
4.2,-3.338,-6.107
4.4,-2.8160000000000003,-6.068
4.6,-2.21,-5.8389999999999995
4.8,-1.541,-5.4239999999999995
5.0,-0.828,-4.823
5.2,-0.081,-4.0760000000000005
5.4,0.647,-3.1919999999999997
5.6,1.36,-2.254
5.8,2.0,-1.219
6.0,2.5860000000000003,-0.14400000000000002
6.2,3.089,0.9259999999999999
6.4,3.5039999999999996,1.976
6.6,3.802,2.967
6.8,3.988,3.866
7.0,4.056,4.662
7.2,3.998,5.321000000000001
7.4,3.827,5.819
7.6,3.543,6.181
7.8,3.167,6.322
8.0,2.659,6.2829999999999995
8.2,2.0780000000000003,6.068
8.4,1.4580000000000002,5.687
8.6,0.8029999999999999,5.17
8.8,0.12,4.476
9.0,-0.569,3.665
9.2,-1.238,2.747
9.4,-1.893,1.766
9.6,-2.459,0.725
9.8,-2.967,-0.325
10.0,-3.4019999999999997,-1.389
10.2,-3.7439999999999998,-2.425
10.4,-3.983,-3.372
10.6,-4.11,-4.232
10.8,-4.11,-4.96
11.0,-3.9730000000000003,-5.5120000000000005
11.2,-3.714,-5.917000000000001
11.4,-3.363,-6.098
11.6,-2.83,-6.068
11.8,-2.234,-5.853
12.0,-1.58,-5.4479999999999995
12.2,-0.867,-4.857
12.4,-0.129,-4.129
12.6,0.603,-3.25
12.8,1.321,-2.3080000000000003
13.0,1.966,-1.272
13.2,2.5669999999999997,-0.193
13.4,3.074,0.867
13.6,3.485,1.9169999999999998
13.8,3.7880000000000003,2.908
14.0,3.978,3.812
14.2,4.051,4.628
14.4,4.002,5.287000000000001
14.6,3.841,5.805
14.8,3.568,6.176
15.0,3.1919999999999997,6.322
15.2,2.6839999999999997,6.292999999999999
15.4,2.112,6.082999999999999
15.6,1.4869999999999999,5.707000000000001
15.8,0.838,5.199
16.0,0.159,4.52
16.2,-0.525,3.719
16.4,-1.194,2.8110000000000004
16.6,-1.8530000000000002,1.824
16.8,-2.425,0.789
17.0,-2.943,-0.271
17.2,-3.3819999999999997,-1.3359999999999999
17.4,-3.7289999999999996,-2.366
17.6,-3.978,-3.319
17.8,-4.1,-4.183
18.0,-4.105,-4.9110000000000005
18.2,-3.983,-5.492000000000001
18.4,-3.7439999999999998,-5.902
18.6,-3.392,-6.103
18.8,-2.8739999999999997,-6.077999999999999
19.0,-2.278,-5.872999999999999
19.2,-1.624,-5.482
19.4,-0.9109999999999999,-4.896
19.6,-0.168,-4.173
19.8,0.5589999999999999,-3.304
20.0,1.2819999999999998,-2.459
