Laatste: Tijd (ms),Laatste: Potential 1 (V),Laatste: Potential 2 (V)
0.0,2.376,2.65
0.2,4.2219999999999995,4.725
0.4,4.93,5.457999999999999
0.6,4.129,4.584
0.8,2.1069999999999998,2.449
1.0,-0.535,-0.38299999999999995
1.2,-3.035,-3.123
1.4,-4.725,-4.891
1.6,-4.994,-5.023
1.8,-3.582,-3.465
2.0,-1.067,-0.833
2.2,1.6869999999999998,2.063
2.4,3.875,4.379
2.6,4.891,5.4479999999999995
2.8,4.418,4.886
3.0,2.63,2.972
3.2,0.061,0.247
3.4,-2.5469999999999997,-2.571
3.6,-4.476,-4.628
3.8,-5.062,-5.16
4.0,-3.988,-3.924
4.2,-1.6480000000000001,-1.443
4.4,1.1159999999999999,1.443
4.6,3.5039999999999996,3.968
4.8,4.803,5.341
5.0,4.662,5.145
5.2,3.094,3.485
5.4,0.637,0.872
5.6,-2.015,-1.985
5.8,-4.149,-4.295
6.0,-5.072,-5.2139999999999995
6.2,-4.359,-4.325
6.4,-2.225,-2.049
6.6,0.545,0.8420000000000001
6.8,3.055,3.495
7.0,4.6419999999999995,5.165
7.2,4.838,5.306
7.4,3.534,3.9539999999999997
7.6,1.204,1.4869999999999999
7.8,-1.4869999999999999,-1.399
8.0,-3.758,-3.905
8.2,-4.999,-5.17
8.4,-4.662,-4.6419999999999995
8.6,-2.772,-2.635
8.8,-0.071,0.183
9.0,2.552,2.991
9.2,4.398,4.901
9.4,4.906000000000001,5.419
9.6,3.9,4.359
9.8,1.77,2.0980000000000003
10.0,-0.8909999999999999,-0.486
