Laatste: Tijd (ms),Laatste: Potential 1 (V),Laatste: Potential 2 (V)
0.0,2.161,4.691
0.2,0.95,3.636
0.4,-0.3,2.2880000000000003
0.6,-1.531,0.769
0.8,-2.645,-0.794
1.0,-3.592,-2.313
1.2,-4.281000000000001,-3.67
1.4,-4.657,-4.725
1.6,-4.652,-5.399
1.8,-4.295,-5.585
2.0,-3.5039999999999996,-5.292000000000001
2.2,-2.449,-4.559
2.4,-1.209,-3.446
2.6,0.11,-2.049
2.8,1.385,-0.5489999999999999
3.0,2.552,1.028
3.2,3.514,2.532
3.4,4.183,3.861
3.6,4.54,4.891
3.8,4.54,5.58
4.0,4.2219999999999995,5.834
4.2,3.5189999999999997,5.648
4.4,2.576,5.053
4.6,1.4380000000000002,4.11
4.8,0.217,2.864
5.0,-1.033,1.399
5.2,-2.21,-0.154
5.4,-3.2310000000000003,-1.6969999999999998
5.6,-4.042,-3.138
5.8,-4.545,-4.335
6.0,-4.7010000000000005,-5.17
6.2,-4.481,-5.58
6.4,-3.861,-5.468
6.6,-2.9130000000000003,-4.896
6.8,-1.736,-3.944
7.0,-0.43700000000000006,-2.654
7.2,0.8909999999999999,-1.189
7.4,2.103,0.39799999999999996
7.6,3.167,1.9609999999999999
7.8,3.9539999999999997,3.353
8.0,4.442,4.515
8.2,4.579,5.35
8.4,4.388,5.8
8.6,3.8360000000000003,5.77
8.8,2.991,5.346
9.0,1.9169999999999998,4.52
9.2,0.716,3.392
9.4,-0.5489999999999999,2.0
9.6,-1.766,0.486
9.8,-2.845,-1.082
10.0,-3.739,-2.435
