Laatste: Tijd (ms),Laatste: Potential 1 (V),Laatste: Potential 2 (V)
0.0,0.43700000000000006,-6.303
0.2,0.545,-6.077999999999999
0.4,0.657,-5.829
0.6,0.769,-5.556
0.8,0.882,-5.257999999999999
1.0,0.9940000000000001,-4.945
1.2,1.101,-4.623
1.4,1.199,-4.281000000000001
1.6,1.297,-3.924
1.8,1.385,-3.563
2.0,1.4680000000000002,-3.197
2.2,1.541,-2.8160000000000003
2.4,1.604,-2.43
2.6,1.673,-2.024
2.8,1.7409999999999999,-1.619
3.0,1.795,-1.209
3.2,1.844,-0.794
3.4,1.8880000000000001,-0.374
3.6,1.9269999999999998,0.042
3.8,1.9509999999999998,0.457
4.0,1.98,0.877
4.2,2.005,1.2919999999999998
4.4,2.015,1.702
4.6,2.024,2.103
4.8,2.024,2.503
5.0,2.015,2.8939999999999997
5.2,2.0,3.265
5.4,1.98,3.636
5.6,1.9509999999999998,3.998
5.8,1.9269999999999998,4.343999999999999
6.0,1.8880000000000001,4.681
6.2,1.844,4.999
6.4,1.795,5.306
6.6,1.736,5.585
6.8,1.6780000000000002,5.853
7.0,1.609,6.098
7.2,1.541,6.337000000000001
7.4,1.4680000000000002,6.557
7.6,1.3940000000000001,6.752000000000001
7.8,1.3159999999999998,6.928
8.0,1.228,7.084
8.2,1.14,7.211
8.4,1.043,7.324
8.6,0.95,7.416
8.8,0.857,7.485
9.0,0.75,7.513999999999999
9.2,0.628,7.519
9.4,0.51,7.513999999999999
9.6,0.408,7.475
9.8,0.29100000000000004,7.416
10.0,0.17300000000000001,7.337999999999999
10.2,0.055999999999999994,7.236000000000001
10.4,-0.046,7.117999999999999
10.6,-0.159,6.977
10.8,-0.266,6.816
11.0,-0.379,6.625
11.2,-0.491,6.415
11.4,-0.598,6.186
11.6,-0.706,5.941
11.8,-0.8029999999999999,5.687
12.0,-0.9009999999999999,5.414
12.2,-0.9990000000000001,5.1160000000000005
12.4,-1.092,4.813
12.6,-1.1840000000000002,4.4910000000000005
12.8,-1.2670000000000001,4.149
13.0,-1.355,3.792
13.2,-1.443,3.431
13.4,-1.516,3.055
13.6,-1.59,2.674
13.8,-1.653,2.293
14.0,-1.712,1.8969999999999998
14.2,-1.766,1.4969999999999999
14.4,-1.819,1.092
14.6,-1.858,0.6859999999999999
14.8,-1.902,0.271
15.0,-1.9369999999999998,-0.134
15.2,-1.9609999999999999,-0.545
15.4,-1.985,-0.955
15.6,-2.0,-1.36
15.8,-2.015,-1.766
16.0,-2.024,-2.171
16.2,-2.029,-2.5669999999999997
16.4,-2.024,-2.957
16.6,-2.01,-3.333
16.8,-1.995,-3.7
17.0,-1.966,-4.056
17.2,-1.9369999999999998,-4.398
17.4,-1.8969999999999998,-4.735
17.6,-1.858,-5.048
17.8,-1.81,-5.35
18.0,-1.756,-5.6339999999999995
18.2,-1.692,-5.897
18.4,-1.624,-6.1370000000000005
18.6,-1.546,-6.361000000000001
18.8,-1.473,-6.567
19.0,-1.385,-6.752000000000001
19.2,-1.3019999999999998,-6.917999999999999
19.4,-1.214,-7.055
19.6,-1.121,-7.1770000000000005
19.8,-1.018,-7.27
20.0,-0.9209999999999999,-7.332999999999999
20.2,-0.799,-7.358
20.4,-0.672,-7.353
20.6,-0.5489999999999999,-7.327999999999999
20.8,-0.418,-7.284
21.0,-0.295,-7.206
21.2,-0.17300000000000001,-7.117999999999999
21.4,-0.046,-6.987
21.6,0.076,-6.845
21.8,0.198,-6.6739999999999995
22.0,0.32,-6.492999999999999
22.2,0.43700000000000006,-6.274
22.4,0.5589999999999999,-6.039
22.6,0.672,-5.785
22.8,0.789,-5.507000000000001
23.0,0.9009999999999999,-5.2139999999999995
23.2,1.0090000000000001,-4.901
23.4,1.121,-4.569
23.6,1.2229999999999999,-4.227
23.8,1.311,-3.885
24.0,1.3940000000000001,-3.5189999999999997
24.2,1.473,-3.1430000000000002
24.4,1.541,-2.762
24.6,1.619,-2.371
24.8,1.6869999999999998,-1.966
25.0,1.746,-1.56
25.2,1.805,-1.145
25.4,1.8530000000000002,-0.735
25.6,1.893,-0.315
25.8,1.9269999999999998,0.1
26.0,1.9609999999999999,0.52
26.2,1.985,0.945
26.4,2.005,1.35
26.6,2.015,1.766
26.8,2.029,2.166
27.0,2.02,2.562
27.2,2.015,2.943
27.4,1.995,3.319
27.6,1.976,3.7
27.8,1.9509999999999998,4.051
28.0,1.922,4.398
28.2,1.883,4.73
28.4,1.839,5.048
28.6,1.79,5.341
28.8,1.7309999999999999,5.629
29.0,1.6680000000000001,5.893
29.2,1.604,6.142
29.4,1.536,6.371
29.6,1.4580000000000002,6.586
29.8,1.389,6.781000000000001
30.0,1.3019999999999998,6.952000000000001
30.2,1.214,7.109
30.4,1.126,7.226
30.6,1.028,7.337999999999999
30.8,0.94,7.436
31.0,0.8420000000000001,7.495
31.2,0.73,7.513999999999999
31.4,0.608,7.519
31.6,0.501,7.504
31.8,0.38299999999999995,7.47
32.0,0.276,7.407
32.2,0.159,7.327999999999999
32.4,0.055999999999999994,7.221
32.6,-0.061,7.104
32.8,-0.17300000000000001,6.957000000000001
33.0,-0.28600000000000003,6.7860000000000005
33.2,-0.39299999999999996,6.596
33.4,-0.505,6.381
33.6,-0.613,6.151
33.8,-0.72,5.907
34.0,-0.813,5.648
34.2,-0.9159999999999999,5.365
34.4,-1.013,5.072
34.6,-1.101,4.769
34.8,-1.199,4.437
35.0,-1.287,4.095
35.2,-1.375,3.739
35.4,-1.453,3.377
35.6,-1.526,3.0010000000000003
35.8,-1.595,2.62
36.0,-1.663,2.23
36.2,-1.722,1.834
36.4,-1.775,1.433
36.6,-1.829,1.028
36.8,-1.8730000000000002,0.618
37.0,-1.902,0.212
37.2,-1.9369999999999998,-0.198
37.4,-1.966,-0.608
37.6,-1.985,-1.013
37.8,-2.0,-1.4240000000000002
38.0,-2.02,-1.829
38.2,-2.024,-2.234
38.4,-2.029,-2.625
38.6,-2.02,-3.0060000000000002
38.8,-2.005,-3.3819999999999997
39.0,-1.99,-3.748
39.2,-1.956,-4.1
39.4,-1.932,-4.452
39.6,-1.893,-4.779
39.8,-1.8530000000000002,-5.096
40.0,-1.8,-5.388999999999999
40.2,-1.746,-5.672999999999999
40.4,-1.683,-5.932
40.6,-1.614,-6.171
40.8,-1.536,-6.391
41.0,-1.463,-6.596
41.2,-1.38,-6.777
41.4,-1.2919999999999998,-6.938
41.6,-1.204,-7.07
41.8,-1.101,-7.187
42.0,-0.9990000000000001,-7.275
42.2,-0.9009999999999999,-7.337999999999999
42.4,-0.774,-7.353
42.6,-0.652,-7.353
42.8,-0.53,-7.327999999999999
43.0,-0.40299999999999997,-7.275
43.2,-0.276,-7.197
43.4,-0.149,-7.099
43.6,-0.022000000000000002,-6.9670000000000005
43.8,0.095,-6.825
44.0,0.217,-6.65
44.2,0.335,-6.4639999999999995
44.4,0.457,-6.244
44.6,0.574,-6.01
44.8,0.691,-5.7410000000000005
45.0,0.8079999999999999,-5.462999999999999
45.2,0.9259999999999999,-5.165
45.4,1.028,-4.852
45.6,1.131,-4.525
45.8,1.228,-4.183
46.0,1.321,-3.832
46.2,1.4040000000000001,-3.465
46.4,1.482,-3.089
46.6,1.56,-2.7030000000000003
46.8,1.6340000000000001,-2.3080000000000003
47.0,1.6969999999999998,-1.9069999999999998
47.2,1.756,-1.5019999999999998
47.4,1.805,-1.087
47.6,1.8530000000000002,-0.6759999999999999
47.8,1.8969999999999998,-0.252
48.0,1.9409999999999998,0.168
48.2,1.966,0.589
48.4,1.99,1.004
48.6,2.015,1.4240000000000002
48.8,2.024,1.824
49.0,2.02,2.23
49.2,2.02,2.62
49.4,2.005,3.0060000000000002
49.6,1.995,3.387
49.8,1.976,3.758
50.0,1.956,4.11
50.2,1.9169999999999998,4.457
50.4,1.8730000000000002,4.784
50.6,1.829,5.087
50.8,1.78,5.388999999999999
51.0,1.722,5.667999999999999
51.2,1.663,5.937
51.4,1.595,6.181
51.6,1.526,6.415
51.8,1.4580000000000002,6.615
52.0,1.37,6.811
52.2,1.2919999999999998,6.977
52.4,1.199,7.117999999999999
52.6,1.1059999999999999,7.25
52.8,1.018,7.358
53.0,0.9259999999999999,7.446000000000001
53.2,0.828,7.499
53.4,0.711,7.519
53.6,0.593,7.519
53.8,0.47600000000000003,7.495
54.0,0.364,7.455
54.2,0.256,7.397
54.4,0.14400000000000002,7.314
54.6,0.032,7.211
54.8,-0.076,7.084
55.0,-0.193,6.928
55.2,-0.305,6.757000000000001
55.4,-0.418,6.557
55.6,-0.525,6.352
55.8,-0.628,6.117000000000001
56.0,-0.735,5.872999999999999
56.2,-0.833,5.609
56.4,-0.93,5.3260000000000005
56.6,-1.028,5.023
56.8,-1.126,4.711
57.0,-1.209,4.383
57.2,-1.3019999999999998,4.046
57.4,-1.385,3.685
57.6,-1.463,3.319
57.8,-1.536,2.952
58.0,-1.609,2.5669999999999997
58.2,-1.673,2.176
58.4,-1.7309999999999999,1.775
58.6,-1.785,1.37
58.8,-1.834,0.9690000000000001
59.0,-1.868,0.564
59.2,-1.9069999999999998,0.154
59.4,-1.9369999999999998,-0.247
59.6,-1.966,-0.667
59.8,-1.985,-1.077
60.0,-2.01,-1.443
