Laatste: Tijd (ms),Laatste: Potential 1 (V),Laatste: Potential 2 (V)
0.0,3.9389999999999996,3.133
0.2,4.208,4.144
0.4,4.305,4.965
0.6,4.212,5.595
0.8,3.9539999999999997,6.0
1.0,3.509,6.103
1.2,2.8789999999999996,5.966
1.4,2.161,5.59
1.6,1.341,4.994
1.8,0.491,4.183
2.0,-0.39299999999999996,3.197
2.2,-1.2670000000000001,2.073
2.4,-2.088,0.877
2.6,-2.8160000000000003,-0.364
2.8,-3.4410000000000003,-1.585
3.0,-3.924,-2.762
3.2,-4.247,-3.807
3.4,-4.388,-4.691
3.6,-4.325,-5.355
3.8,-4.0760000000000005,-5.785
4.0,-3.6260000000000003,-5.882999999999999
4.2,-2.9619999999999997,-5.707000000000001
4.4,-2.186,-5.257999999999999
4.6,-1.3159999999999998,-4.553999999999999
4.8,-0.374,-3.661
5.0,0.574,-2.596
5.2,1.4769999999999999,-1.433
5.4,2.303,-0.17800000000000002
5.6,3.011,1.057
5.8,3.592,2.2640000000000002
6.0,4.007,3.377
6.2,4.247,4.349
6.4,4.3,5.131
6.6,4.168,5.712000000000001
6.8,3.8710000000000004,6.0489999999999995
7.0,3.3680000000000003,6.093
7.2,2.7230000000000003,5.893
7.4,1.9709999999999999,5.4479999999999995
7.6,1.131,4.813
7.8,0.271,3.949
8.0,-0.618,2.943
8.2,-1.473,1.79
8.4,-2.274,0.584
8.6,-2.972,-0.662
8.8,-3.568,-1.883
9.0,-4.0169999999999995,-3.035
9.2,-4.295,-4.042
9.4,-4.393,-4.872
9.6,-4.2860000000000005,-5.477
9.8,-3.983,-5.824
10.0,-3.47,-5.858
10.2,-2.7910000000000004,-5.614
10.4,-1.985,-5.121
10.6,-1.092,-4.369
10.8,-0.14400000000000002,-3.4160000000000004
11.0,0.799,-2.3080000000000003
11.2,1.683,-1.126
11.4,2.488,0.129
11.6,3.1719999999999997,1.36
11.8,3.714,2.552
12.0,4.081,3.6260000000000003
12.2,4.271,4.553999999999999
12.4,4.2860000000000005,5.292000000000001
12.6,4.11,5.814
12.8,3.773,6.082999999999999
13.0,3.2260000000000004,6.0729999999999995
13.2,2.552,5.814
13.4,1.775,5.311
13.6,0.93,4.623
13.8,0.061,3.719
14.0,-0.818,2.674
14.2,-1.6780000000000002,1.507
14.4,-2.449,0.28600000000000003
14.6,-3.123,-0.955
14.8,-3.69,-2.166
15.0,-4.1,-3.2889999999999997
15.2,-4.343999999999999,-4.266
15.4,-4.388,-5.048
15.6,-4.232,-5.59
15.8,-3.895,-5.8629999999999995
16.0,-3.319,-5.824
16.2,-2.596,-5.516
16.4,-1.775,-4.968999999999999
16.6,-0.862,-4.159
16.8,0.076,-3.162
17.0,1.018,-2.0540000000000003
17.2,1.8730000000000002,-0.833
17.4,2.654,0.42700000000000005
17.6,3.3089999999999997,1.653
17.8,3.8169999999999997,2.825
18.0,4.149,3.8710000000000004
18.2,4.3,4.745
18.4,4.256,5.433
18.6,4.037,5.907
18.8,3.661,6.103
19.0,3.07,6.034
19.2,2.381,5.7170000000000005
19.4,1.58,5.165
19.6,0.735,4.427
19.8,-0.154,3.485
20.0,-1.028,2.513
