Laatste: Tijd (ms),Laatste: Potential 1 (V),Laatste: Potential 2 (V)
0.0,0.466,3.714
0.2,0.466,3.802
0.4,0.462,3.89
0.6,0.462,3.978
0.8,0.452,4.066
1.0,0.452,4.159
1.2,0.447,4.247
1.4,0.442,4.3389999999999995
1.6,0.447,4.427
1.8,0.442,4.51
2.0,0.43700000000000006,4.593
2.2,0.43200000000000005,4.676
2.4,0.42200000000000004,4.755
2.6,0.42200000000000004,4.842
2.8,0.418,4.926
3.0,0.418,5.0089999999999995
3.2,0.418,5.087
3.4,0.413,5.165
3.6,0.40299999999999997,5.2379999999999995
3.8,0.39799999999999996,5.316
4.0,0.39299999999999996,5.385
4.2,0.39299999999999996,5.468
4.4,0.38799999999999996,5.541
4.6,0.38299999999999995,5.619
4.8,0.379,5.692
5.0,0.374,5.756
5.2,0.369,5.824
5.4,0.364,5.897
5.6,0.354,5.961
5.8,0.349,6.039
6.0,0.349,6.103
6.2,0.344,6.166
6.4,0.33899999999999997,6.23
6.6,0.335,6.292999999999999
6.8,0.33,6.352
7.0,0.32,6.41
7.2,0.31,6.479
7.4,0.31,6.532
7.6,0.305,6.591
7.8,0.3,6.645
8.0,0.295,6.702999999999999
8.2,0.29100000000000004,6.747000000000001
8.4,0.281,6.806
8.6,0.276,6.85
8.8,0.266,6.904
9.0,0.266,6.952000000000001
9.2,0.256,7.006
9.4,0.256,7.05
9.6,0.252,7.099
9.8,0.242,7.143
10.0,0.23199999999999998,7.1770000000000005
10.2,0.22699999999999998,7.221
10.4,0.217,7.26
10.6,0.217,7.2989999999999995
10.8,0.20800000000000002,7.343
11.0,0.20800000000000002,7.377000000000001
11.2,0.203,7.4110000000000005
11.4,0.193,7.4510000000000005
11.6,0.183,7.48
11.8,0.17800000000000002,7.5089999999999995
12.0,0.168,7.542999999999999
12.2,0.168,7.5729999999999995
12.4,0.16399999999999998,7.602
12.6,0.159,7.631
12.8,0.154,7.656000000000001
13.0,0.14400000000000002,7.675
13.2,0.139,7.7
13.4,0.129,7.7139999999999995
13.6,0.125,7.739
13.8,0.12,7.757999999999999
14.0,0.11,7.778
14.2,0.11,7.8020000000000005
14.4,0.1,7.812
14.6,0.095,7.827000000000001
14.8,0.085,7.841
15.0,0.081,7.841
15.2,0.071,7.861000000000001
15.4,0.071,7.8660000000000005
15.6,0.066,7.88
15.8,0.061,7.885
16.0,0.046,7.88
16.2,0.032,7.875
16.4,0.022000000000000002,7.871
16.6,0.012,7.861000000000001
16.8,-0.006999999999999999,7.861000000000001
17.0,-0.002,7.856
17.2,-0.012,7.851
17.4,-0.017,7.841
17.6,-0.022000000000000002,7.827000000000001
17.8,-0.032,7.817
18.0,-0.046,7.797000000000001
18.2,-0.051,7.7829999999999995
18.4,-0.055999999999999994,7.768
18.6,-0.061,7.752999999999999
18.8,-0.071,7.734
19.0,-0.071,7.718999999999999
19.2,-0.081,7.695
19.4,-0.09,7.67
19.6,-0.1,7.641
19.8,-0.105,7.621
20.0,-0.12,7.5920000000000005
20.2,-0.12,7.568
