Laatste: Tijd (ms),Laatste: Potential 1 (V),Laatste: Potential 2 (V)
0.0,-3.534,-3.929
0.2,-3.514,-4.553999999999999
0.4,-3.431,-5.126
0.6,-3.3089999999999997,-5.609
0.8,-3.123,-6.005
1.0,-2.8939999999999997,-6.313
1.2,-2.615,-6.492999999999999
1.4,-2.278,-6.557
1.6,-1.8880000000000001,-6.513
1.8,-1.482,-6.3660000000000005
2.0,-1.053,-6.107
2.2,-0.593,-5.751
2.4,-0.139,-5.306
2.6,0.315,-4.779
2.8,0.769,-4.154
3.0,1.219,-3.475
3.2,1.614,-2.772
3.4,1.995,-1.99
3.6,2.342,-1.189
3.8,2.65,-0.379
4.0,2.9130000000000003,0.43700000000000006
4.2,3.133,1.263
4.4,3.304,2.0540000000000003
4.6,3.4160000000000004,2.821
4.8,3.485,3.548
5.0,3.495,4.2219999999999995
5.2,3.46,4.833
5.4,3.363,5.365
5.6,3.221,5.829
5.8,3.0260000000000002,6.195
6.0,2.7960000000000003,6.497999999999999
6.2,2.5269999999999997,6.689
6.4,2.2,6.757000000000001
6.6,1.839,6.737
6.8,1.453,6.611000000000001
7.0,1.048,6.4
7.2,0.647,6.112
7.4,0.222,5.7170000000000005
7.6,-0.203,5.2379999999999995
7.8,-0.618,4.706
8.0,-1.023,4.09
8.2,-1.4240000000000002,3.411
8.4,-1.805,2.679
8.6,-2.151,1.932
8.8,-2.464,1.14
9.0,-2.737,0.335
9.2,-2.9819999999999998,-0.47100000000000003
9.4,-3.1919999999999997,-1.287
9.6,-3.3480000000000003,-2.083
9.8,-3.455,-2.84
10.0,-3.5189999999999997,-3.568
10.2,-3.534,-4.242
10.4,-3.49,-4.8469999999999995
10.6,-3.387,-5.37
10.8,-3.2260000000000004,-5.8
11.0,-3.0210000000000004,-6.156000000000001
11.2,-2.762,-6.41
11.4,-2.469,-6.532
11.6,-2.0980000000000003,-6.547000000000001
11.8,-1.6969999999999998,-6.459
12.0,-1.287,-6.263999999999999
12.2,-0.8420000000000001,-5.956
12.4,-0.374,-5.551
12.6,0.085,-5.067
12.8,0.535,-4.4910000000000005
13.0,0.9890000000000001,-3.8360000000000003
13.2,1.4040000000000001,-3.1430000000000002
13.4,1.795,-2.41
13.6,2.166,-1.614
13.8,2.4930000000000003,-0.8079999999999999
14.0,2.786,0.022000000000000002
14.2,3.0260000000000002,0.838
14.4,3.2260000000000004,1.639
14.6,3.372,2.425
14.8,3.46,3.177
15.0,3.495,3.875
15.2,3.48,4.51
15.4,3.4160000000000004,5.092
15.6,3.299,5.6
15.8,3.133,6.015
16.0,2.923,6.357
16.2,2.674,6.611000000000001
16.4,2.386,6.733
16.6,2.029,6.757000000000001
16.8,1.653,6.684
17.0,1.258,6.518
17.2,0.852,6.2829999999999995
17.4,0.452,5.937
17.6,0.027000000000000003,5.507000000000001
17.8,-0.39299999999999996,4.999
18.0,-0.813,4.418
18.2,-1.219,3.773
18.4,-1.614,3.055
18.6,-1.98,2.3169999999999997
18.8,-2.303,1.556
19.0,-2.6010000000000004,0.759
19.2,-2.86,-0.051
19.4,-3.0839999999999996,-0.862
19.6,-3.27,-1.673
19.8,-3.411,-2.454
20.0,-3.4989999999999997,-3.201
20.2,-3.534,-3.895
20.4,-3.514,-4.53
20.6,-3.446,-5.101
20.8,-3.3139999999999996,-5.58
21.0,-3.133,-5.98
21.2,-2.904,-6.287999999999999
21.4,-2.635,-6.4879999999999995
21.6,-2.298,-6.557
21.8,-1.912,-6.518
22.0,-1.5019999999999998,-6.386
22.2,-1.077,-6.127000000000001
22.4,-0.613,-5.766
22.6,-0.154,-5.3260000000000005
22.8,0.295,-4.803
23.0,0.75,-4.1930000000000005
23.2,1.1840000000000002,-3.5189999999999997
23.4,1.59,-2.806
23.6,1.9709999999999999,-2.039
23.8,2.327,-1.228
24.0,2.64,-0.408
24.2,2.908,0.40299999999999997
24.4,3.123,1.219
24.6,3.2939999999999996,2.015
24.8,3.4160000000000004,2.781
25.0,3.48,3.509
25.2,3.495,4.183
25.4,3.46,4.7989999999999995
25.6,3.372,5.341
25.8,3.2310000000000003,5.805
26.0,3.04,6.181
26.2,2.806,6.484
26.4,2.542,6.678999999999999
26.6,2.215,6.757000000000001
26.8,1.8530000000000002,6.737
27.0,1.473,6.62
27.2,1.067,6.415
27.4,0.672,6.132000000000001
27.6,0.242,5.7410000000000005
27.8,-0.17800000000000002,5.272
28.0,-0.598,4.725
28.2,-1.0090000000000001,4.125
28.4,-1.4040000000000001,3.4410000000000003
28.6,-1.79,2.718
28.8,-2.1319999999999997,1.976
29.0,-2.444,1.1840000000000002
29.2,-2.7230000000000003,0.379
29.4,-2.972,-0.43700000000000006
29.6,-3.182,-1.248
29.8,-3.338,-2.044
30.0,-3.46,-2.737
