Laatste: Tijd (ms),Laatste: Potential 1 (V),Laatste: Potential 2 (V)
0.0,-1.043,-2.557
0.2,-1.023,-2.752
0.4,-1.023,-2.952
0.6,-1.023,-3.1430000000000002
0.8,-1.0090000000000001,-3.333
1.0,-1.0090000000000001,-3.5189999999999997
1.2,-0.9940000000000001,-3.705
1.4,-0.9840000000000001,-3.885
1.6,-0.9740000000000001,-4.061
1.8,-0.96,-4.242
2.0,-0.955,-4.413
2.2,-0.945,-4.593
2.4,-0.93,-4.755
2.6,-0.9159999999999999,-4.916
2.8,-0.9009999999999999,-5.077
3.0,-0.8859999999999999,-5.228
3.2,-0.867,-5.38
3.4,-0.847,-5.526
3.6,-0.833,-5.672999999999999
3.8,-0.818,-5.814
4.0,-0.8029999999999999,-5.956
4.2,-0.789,-6.077999999999999
4.4,-0.759,-6.205
4.6,-0.74,-6.322
4.8,-0.711,-6.44
5.0,-0.696,-6.557
5.2,-0.672,-6.664
5.4,-0.652,-6.7620000000000005
5.6,-0.632,-6.864
5.8,-0.598,-6.947
6.0,-0.579,-7.035
6.2,-0.5539999999999999,-7.109
6.4,-0.525,-7.192
6.6,-0.501,-7.26
6.8,-0.48100000000000004,-7.324
7.0,-0.452,-7.3870000000000005
7.2,-0.42200000000000004,-7.431
7.4,-0.39299999999999996,-7.48
7.6,-0.369,-7.524
7.8,-0.33899999999999997,-7.558
8.0,-0.31,-7.587000000000001
8.2,-0.29100000000000004,-7.617000000000001
8.4,-0.266,-7.636
8.6,-0.23199999999999998,-7.641
8.8,-0.193,-7.636
9.0,-0.154,-7.626
9.2,-0.115,-7.612
9.4,-0.085,-7.5920000000000005
9.6,-0.051,-7.568
9.8,-0.027000000000000003,-7.537999999999999
10.0,0.006999999999999999,-7.5089999999999995
10.2,0.037000000000000005,-7.465
10.4,0.071,-7.4110000000000005
10.6,0.1,-7.353
10.8,0.129,-7.294
11.0,0.16399999999999998,-7.231
11.2,0.193,-7.1579999999999995
11.4,0.222,-7.084
