Laatste: Tijd (ms),Laatste: Potential 1 (V),Laatste: Potential 2 (V)
0.0,4.149,4.755
0.2,4.979,5.257999999999999
0.4,3.617,3.3139999999999996
0.6,0.574,-0.125
0.8,-2.806,-3.475
1.0,-4.926,-5.14
1.2,-4.584,-3.9389999999999996
1.4,-1.839,-0.711
1.6,1.673,2.84
1.8,4.349,5.106
2.0,4.886,5.0089999999999995
2.2,2.9960000000000004,2.596
2.4,-0.252,-0.935
2.6,-3.47,-4.085
2.8,-5.101,-5.101
3.0,-4.11,-3.3089999999999997
3.2,-1.004,0.12
3.4,2.454,3.548
3.6,4.691,5.336
3.8,4.618,4.618
4.0,2.332,1.81
4.2,-1.072,-1.79
4.4,-4.061,-4.569
4.6,-5.126,-4.9110000000000005
4.8,-3.5039999999999996,-2.625
5.0,-0.149,0.9890000000000001
5.2,3.177,4.168
5.4,4.901,5.399
5.6,4.242,4.11
5.8,1.565,0.9690000000000001
6.0,-1.883,-2.5860000000000003
6.2,-4.53,-4.916
6.4,-4.989,-4.569
6.6,-2.8110000000000004,-1.81
6.8,0.711,1.858
7.0,3.758,4.676
7.2,4.984,5.306
7.4,3.753,3.48
7.6,0.774,0.085
7.8,-2.635,-3.3480000000000003
8.0,-4.877,-5.126
8.2,-4.662,-4.0760000000000005
8.4,-2.029,-0.955
8.6,1.526,2.6639999999999997
8.8,4.271,5.062
9.0,4.935,5.082
9.2,3.158,2.772
9.4,-0.061,-0.779
9.6,-3.3280000000000003,-3.9539999999999997
9.8,-5.077,-5.126
10.0,-4.232,-3.763
