Laatste: Tijd (ms),Laatste: Potential 1 (V),Laatste: Potential 2 (V)
0.0,4.022,5.834
0.2,3.69,6.122000000000001
0.4,3.1919999999999997,6.151
0.6,2.571,5.971
0.8,1.8630000000000002,5.556
1.0,1.092,4.968999999999999
1.2,0.295,4.183
1.4,-0.535,3.241
1.6,-1.3359999999999999,2.176
1.8,-2.0980000000000003,1.043
2.0,-2.7569999999999997,-0.134
2.2,-3.343,-1.321
2.4,-3.807,-2.454
2.6,-4.125,-3.5039999999999996
2.8,-4.291,-4.408
3.0,-4.2860000000000005,-5.136
3.2,-4.115,-5.6579999999999995
3.4,-3.778,-5.9270000000000005
3.6,-3.241,-5.907
3.8,-2.552,-5.653
4.0,-1.79,-5.16
4.2,-0.945,-4.447
4.4,-0.066,-3.553
4.6,0.799,-2.508
4.8,1.619,-1.409
5.0,2.376,-0.217
5.2,3.0260000000000002,0.9690000000000001
5.4,3.553,2.137
5.6,3.944,3.216
5.8,4.168,4.168
6.0,4.237,4.968999999999999
6.2,4.1339999999999995,5.59
6.4,3.885,6.005
6.6,3.49,6.166
6.8,2.918,6.098
7.0,2.254,5.81
7.2,1.507,5.3020000000000005
7.4,0.725,4.623
7.6,-0.09,3.763
7.8,-0.9109999999999999,2.752
8.0,-1.7069999999999999,1.6480000000000001
8.2,-2.425,0.486
8.4,-3.05,-0.691
8.6,-3.5780000000000003,-1.8630000000000002
8.8,-3.978,-2.967
9.0,-4.227,-3.944
9.2,-4.31,-4.774
9.4,-4.232,-5.404
9.6,-3.978,-5.829
9.8,-3.548,-5.956
10.0,-2.938,-5.819
10.2,-2.215,-5.457999999999999
10.4,-1.4140000000000001,-4.857
10.6,-0.535,-4.051
10.8,0.344,-3.089
11.0,1.204,-2.015
11.2,1.976,-0.847
11.4,2.694,0.33899999999999997
11.6,3.2889999999999997,1.531
11.8,3.748,2.65
12.0,4.066,3.675
12.2,4.2219999999999995,4.574
12.4,4.208,5.287000000000001
12.6,4.037,5.814
12.8,3.719,6.117000000000001
13.0,3.2310000000000003,6.1610000000000005
13.2,2.62,5.99
13.4,1.9169999999999998,5.595
13.6,1.14,5.023
13.8,0.349,4.247
14.0,-0.47600000000000003,3.3089999999999997
14.2,-1.2819999999999998,2.249
14.4,-2.0540000000000003,1.121
14.6,-2.718,-0.066
14.8,-3.304,-1.2329999999999999
15.0,-3.778,-2.381
15.2,-4.11,-3.4410000000000003
15.4,-4.291,-4.354
15.6,-4.295,-5.092
15.8,-4.125,-5.629
16.0,-3.7969999999999997,-5.917000000000001
16.2,-3.28,-5.922000000000001
16.4,-2.615,-5.678
16.6,-1.849,-5.209
16.8,-1.004,-4.505
17.0,-0.134,-3.617
17.2,0.745,-2.6010000000000004
17.4,1.565,-1.492
17.6,2.327,-0.295
17.8,2.9819999999999998,0.8909999999999999
18.0,3.5239999999999996,2.059
18.2,3.9189999999999996,3.148
18.4,4.154,4.11
18.6,4.242,4.921
18.8,4.149,5.551
19.0,3.905,5.985
19.2,3.5189999999999997,6.1610000000000005
19.4,2.947,6.103
19.6,2.298,5.834
19.8,1.556,5.341
20.0,0.779,4.75
