"Laatste: Tijd (ms)";"Laatste: Potential 1 (V)";"Laatste: Potential 2 (V)";"Latest: Time (s)";"Latest: Potential 1 (V)";"Latest: Potential 2 (V)";"Meting 1: Tijd (ms)";"Meting 1: Potential 1 (V)";"Meting 1: Potential 2 (V)";"Meting 2: Tijd (s)";"Meting 2: Potential 1 (V)";"Meting 2: Potential 2 (V)";"Meting 3: Tijd (ms)";"Meting 3: Potential 1 (V)";"Meting 3: Potential 2 (V)";"Meting 4: Tijd (s)";"Meting 4: Potential 1 (V)";"Meting 4: Potential 2 (V)"
105,6000;0,139;7,665;2,112;-3,089;0,066;369,600000;7,617;7,709;0,528;7,328;7,714;;;;0,1056;-0,437;3,915
105,8000;0,134;7,700;2,116;-8,032;0,046;370,300000;7,617;7,700;0,529;7,328;7,705;;;;0,1058;-0,447;3,827
106,0000;0,134;7,719;2,120;-5,443;-0,061;371,000000;7,626;7,705;0,530;7,328;7,705;;;;0,1060;-0,452;3,734
106,2000;0,125;7,739;2,124;8,286;-0,090;371,700000;7,617;7,705;0,531;7,333;7,700;;;;0,1062;-0,457;3,641
106,4000;0,120;7,758;2,128;7,763;-0,037;372,400000;7,617;7,700;0,532;7,338;7,700;;;;0,1064;-0,457;3,553
106,6000;0,115;7,773;2,132;3,568;0,066;373,100000;7,621;7,705;0,533;7,338;7,709;;;;0,1066;-0,462;3,460
106,8000;0,105;7,788;2,136;-8,359;0,046;373,800000;7,621;7,700;0,534;7,348;7,705;;;;0,1068;-0,462;3,372
107,0000;0,095;7,802;2,140;-7,236;-0,056;374,500000;7,617;7,700;0,535;7,343;7,705;;;;0,1070;-0,462;3,284
107,2000;0,085;7,817;2,144;-1,033;-0,105;375,200000;7,617;7,700;0,536;7,353;7,705;;;;0,1072;-0,466;3,187
107,4000;0,085;7,832;2,148;8,295;-0,027;375,900000;7,621;7,705;0,537;7,353;7,705;;;;0,1074;-0,466;3,089
107,6000;0,081;7,841;2,152;6,469;0,066;376,600000;7,617;7,705;0,538;7,358;7,709;;;;0,1076;-0,476;2,996
107,8000;0,076;7,856;2,156;-3,387;0,071;377,300000;7,617;7,705;0,539;7,358;7,700;;;;0,1078;-0,481;2,899
108,0000;0,071;7,871;2,160;-8,017;-0,066;378,000000;7,617;7,705;0,540;7,358;7,705;;;;0,1080;-0,486;2,806
108,2000;0,066;7,875;2,164;-5,331;-0,110;378,700000;7,621;7,705;0,541;7,368;7,709;;;;0,1082;-0,481;2,713
108,4000;0,051;7,875;2,168;8,515;-0,046;379,400000;7,621;7,709;0,542;7,363;7,700;;;;0,1084;-0,486;2,615
108,6000;0,042;7,871;2,172;7,724;0,061;380,100000;7,621;7,700;0,543;7,368;7,709;;;;0,1086;-0,486;2,523
108,8000;0,032;7,866;2,176;3,446;0,081;380,800000;7,621;7,700;0,544;7,372;7,705;;;;0,1088;-0,491;2,420
109,0000;0,022;7,871;2,180;-8,354;-0,056;381,500000;7,621;7,705;0,545;7,377;7,705;;;;0,1090;-0,496;2,322
109,2000;0,012;7,871;2,184;-7,192;-0,095;382,200000;7,617;7,700;0,546;7,377;7,709;;;;0,1092;-0,496;2,220
109,4000;0,002;7,861;2,188;-0,779;-0,066;382,900000;7,621;7,705;0,547;7,382;7,705;;;;0,1094;-0,501;2,122
109,6000;-0,002;7,861;2,192;8,266;0,061;383,600000;7,617;7,705;0,548;7,382;7,714;;;;0,1096;-0,501;2,029
109,8000;-0,012;7,851;2,196;6,415;0,066;384,300000;7,621;7,705;0,549;7,387;7,705;;;;0,1098;-0,501;1,927
110,0000;-0,022;7,836;2,200;-3,915;-0,027;385,000000;7,617;7,700;0,550;7,382;7,705;;;;0,1100;-0,501;1,829
110,2000;-0,032;7,827;2,204;-7,993;-0,095;385,700000;7,621;7,705;0,551;7,392;7,705;;;;0,1102;-0,505;1,731
110,4000;-0,042;7,807;2,208;-5,209;-0,056;386,400000;7,621;7,709;0,552;7,392;7,705;;;;0,1104;-0,505;1,629
110,6000;-0,046;7,807;2,212;8,510;0,051;387,100000;7,621;7,700;0,553;7,387;7,714;;;;0,1106;-0,510;1,526
110,8000;-0,046;7,788;2,216;7,700;0,076;387,800000;7,621;7,709;0,554;7,402;7,709;;;;0,1108;-0,515;1,424
111,0000;-0,056;7,773;2,220;3,197;-0,017;388,500000;7,612;7,700;0,555;7,397;7,709;;;;0,1110;-0,520;1,321
111,2000;-0,061;7,758;2,224;-8,339;-0,095;389,200000;7,621;7,705;0,556;7,402;7,709;;;;0,1112;-0,515;1,223
111,4000;-0,071;7,739;2,228;-7,138;-0,056;389,900000;7,617;7,705;0,557;7,402;7,705;;;;0,1114;-0,515;1,126
111,6000;-0,076;7,714;2,232;-0,442;0,027;390,600000;7,621;7,705;0,558;7,407;7,709;;;;0,1116;-0,515;1,023
111,8000;-0,085;7,695;2,236;8,271;0,081;391,300000;7,617;7,705;0,559;7,407;7,709;;;;0,1118;-0,515;0,921
112,0000;-0,095;7,670;2,240;6,313;-0,022;392,000000;7,617;7,695;0,560;7,407;7,700;;;;0,1120;-0,520;0,818
112,2000;-0,095;7,651;2,244;-4,310;-0,066;392,700000;7,626;7,705;0,561;7,416;7,709;;;;0,1122;-0,525;0,716
112,4000;-0,100;7,626;2,248;-7,973;-0,056;393,400000;7,617;7,700;0,562;7,416;7,700;;;;0,1124;-0,525;0,608
112,6000;-0,105;7,602;2,252;-5,077;0,027;394,100000;7,621;7,700;0,563;7,411;7,705;;;;0,1126;-0,530;0,515
112,8000;-0,115;7,578;2,256;8,505;0,056;394,800000;7,617;7,705;0,564;7,416;7,709;;;;0,1128;-0,520;0,413
113,0000;-0,115;7,543;2,260;7,661;-0,032;395,500000;7,621;7,705;0,565;7,416;7,705;;;;0,1130;-0,525;0,305
113,2000;-0,134;7,509;2,264;3,016;-0,056;396,200000;7,621;7,709;0,566;7,426;7,709;;;;0,1132;-0,525;0,203
113,4000;-0,134;7,480;2,268;-8,330;-0,051;396,900000;7,621;7,705;0,567;7,426;7,700;;;;0,1134;-0,525;0,105
113,6000;-0,144;7,446;2,272;-7,079;0,037;397,600000;7,621;7,705;0,568;7,426;7,709;;;;0,1136;-0,525;-0,002
113,8000;-0,149;7,416;2,276;-0,208;0,032;398,300000;7,617;7,700;0,569;7,431;7,705;;;;0,1138;-0,530;-0,105
114,0000;-0,154;7,382;2,280;8,242;-0,032;399,000000;7,621;7,705;0,570;7,426;7,705;;;;0,1140;-0,530;-0,208
114,2000;-0,159;7,353;2,284;6,225;-0,066;399,700000;7,621;7,709;0,571;7,436;7,709;;;;0,1142;-0,535;-0,315
114,4000;-0,164;7,314;2,288;-4,774;-0,027;400,400000;7,621;7,705;0,572;7,431;7,700;;;;0,1144;-0,530;-0,413
114,6000;-0,168;7,275;2,292;-7,954;0,032;401,100000;7,621;7,709;0,573;7,431;7,700;;;;0,1146;-0,535;-0,515
114,8000;-0,178;7,231;2,296;-4,960;0,042;401,800000;7,617;7,700;0,574;7,436;7,705;;;;0,1148;-0,530;-0,613
115,0000;-0,188;7,187;2,300;8,496;-0,037;402,500000;7,621;7,705;0,575;7,436;7,700;;;;0,1150;-0,530;-0,720
115,2000;-0,193;7,148;2,304;7,617;-0,061;403,200000;7,621;7,700;0,576;7,446;7,709;;;;0,1152;-0,530;-0,823
115,4000;-0,198;7,104;2,308;2,811;-0,017;403,900000;7,621;7,709;0,577;7,446;7,709;;;;0,1154;-0,535;-0,926
115,6000;-0,208;7,060;2,312;-8,330;0,032;404,600000;7,621;7,705;0,578;7,446;7,709;;;;0,1156;-0,535;-1,033
115,8000;-0,208;7,021;2,316;-7,035;0,042;405,300000;7,617;7,705;0,579;7,451;7,705;;;;0,1158;-0,530;-1,131
116,0000;-0,212;6,972;2,320;0,173;-0,071;406,000000;7,626;7,709;0,580;7,446;7,700;;;;0,1160;-0,535;-1,228
116,2000;-0,222;6,923;2,324;8,222;-0,081;406,700000;7,621;7,700;0,581;7,451;7,709;;;;0,1162;-0,535;-1,336
116,4000;-0,232;6,869;2,328;6,142;-0,027;407,400000;7,621;7,705;0,582;7,451;7,705;;;;0,1164;-0,530;-1,433
116,6000;-0,237;6,816;2,332;-5,341;0,061;408,100000;7,621;7,705;0,583;7,451;7,705;;;;0,1166;-0,525;-1,536
116,8000;-0,247;6,767;2,336;-7,919;0,042;408,800000;7,621;7,705;0,584;7,460;7,705;;;;0,1168;-0,530;-1,639
117,0000;-0,247;6,713;2,340;-4,808;-0,066;409,500000;7,621;7,709;0,585;7,455;7,705;;;;0,1170;-0,535;-1,741
117,2000;-0,256;6,664;2,344;8,486;-0,066;410,200000;7,621;7,700;0,586;7,460;7,709;;;;0,1172;-0,535;-1,844
117,4000;-0,256;6,606;2,348;7,587;-0,027;410,900000;7,621;7,705;0,587;7,465;7,705;;;;0,1174;-0,535;-1,941
117,6000;-0,261;6,552;2,352;2,532;0,066;411,600000;7,617;7,705;0,588;7,460;7,705;;;;0,1176;-0,525;-2,044
117,8000;-0,271;6,488;2,356;-8,310;0,037;412,300000;7,621;7,705;0,589;7,465;7,705;;;;0,1178;-0,520;-2,142
118,0000;-0,276;6,430;2,360;-6,967;-0,071;413,000000;7,617;7,705;0,590;7,465;7,700;;;;0,1180;-0,525;-2,239
118,2000;-0,286;6,366;2,364;0,466;-0,110;413,700000;7,621;7,705;0,591;7,470;7,709;;;;0,1182;-0,520;-2,342
118,4000;-0,295;6,303;2,368;8,212;-0,022;414,400000;7,621;7,709;0,592;7,470;7,705;;;;0,1184;-0,520;-2,440
118,6000;-0,295;6,249;2,372;6,029;0,066;415,100000;7,621;7,705;0,593;7,465;7,705;;;;0,1186;-0,520;-2,542
118,8000;-0,305;6,186;2,376;-5,775;0,076;415,800000;7,626;7,709;0,594;7,470;7,709;;;;0,1188;-0,520;-2,640
119,0000;-0,305;6,127;2,380;-7,900;-0,056;416,500000;7,621;7,709;0,595;7,475;7,705;;;;0,1190;-0,515;-2,733
119,2000;-0,315;6,059;2,384;-4,672;-0,105;417,200000;7,626;7,709;0,596;7,475;7,705;;;;0,1192;-0,520;-2,830
119,4000;-0,320;5,985;2,388;8,481;-0,022;417,900000;7,621;7,705;0,597;7,480;7,705;;;;0,1194;-0,510;-2,928
119,6000;-0,320;5,922;2,392;7,529;0,061;418,600000;7,621;7,700;0,598;7,475;7,705;;;;0,1196;-0,505;-3,016
119,8000;-0,330;5,849;2,396;2,357;0,085;419,300000;7,617;7,709;0,599;7,490;7,709;;;;0,1198;-0,505;-3,118
120,0000;-0,339;5,785;2,400;-8,300;-0,056;420,000000;7,621;7,705;0,600;7,480;7,709;;;;0,1200;-0,505;-3,216
120,2000;-0,339;5,717;2,404;-6,899;-0,100;420,700000;7,621;7,705;0,601;7,480;7,705;;;;0,1202;-0,510;-3,314
120,4000;-0,344;5,648;2,408;0,823;-0,061;421,400000;7,617;7,700;0,602;7,485;7,705;;;;0,1204;-0,510;-3,411
120,6000;-0,349;5,575;2,412;8,183;0,061;422,100000;7,621;7,700;0,603;7,490;7,705;;;;0,1206;-0,505;-3,499
120,8000;-0,354;5,507;2,416;5,937;0,076;422,800000;7,626;7,705;0,604;7,485;7,709;;;;0,1208;-0,496;-3,587
121,0000;-0,359;5,424;2,420;-6,322;-0,032;423,500000;7,621;7,695;0,605;7,490;7,709;;;;0,1210;-0,491;-3,680
121,2000;-0,364;5,350;2,424;-7,871;-0,105;424,200000;7,626;7,709;0,606;7,490;7,705;;;;0,1212;-0,491;-3,773
121,4000;-0,369;5,277;2,428;-4,510;-0,056;424,900000;7,617;7,705;0,607;7,490;7,705;;;;0,1214;-0,486;-3,866
121,6000;-0,379;5,199;2,432;8,471;0,061;425,600000;7,621;7,709;0,608;7,495;7,705;;;;0,1216;-0,491;-3,958
121,8000;-0,374;5,126;2,436;7,499;0,071;426,300000;7,621;7,705;0,609;7,495;7,709;;;;0,1218;-0,486;-4,051
122,0000;-0,383;5,048;2,440;2,166;-0,022;427,000000;7,621;7,705;0,610;7,495;7,705;;;;0,1220;-0,486;-4,144
122,2000;-0,388;4,969;2,444;-8,286;-0,095;427,700000;7,621;7,714;0,611;7,495;7,705;;;;0,1222;-0,481;-4,227
122,4000;-0,388;4,891;2,448;-6,835;-0,051;428,400000;7,621;7,705;0,612;7,499;7,705;;;;0,1224;-0,471;-4,315
122,6000;-0,393;4,813;2,452;1,258;0,032;429,100000;7,626;7,705;0,613;7,495;7,700;;;;0,1226;-0,471;-4,398
122,8000;-0,403;4,725;2,456;8,173;0,066;429,800000;7,617;7,705;0,614;7,499;7,709;;;;0,1228;-0,466;-4,481
123,0000;-0,408;4,642;2,460;5,824;-0,027;430,500000;7,621;7,705;0,615;7,499;7,709;;;;0,1230;-0,457;-4,574
123,2000;-0,418;4,559;2,464;-6,860;-0,071;431,200000;7,617;7,700;0,616;7,499;7,705;;;;0,1232;-0,466;-4,657
123,4000;-0,413;4,476;2,468;-7,836;-0,051;431,900000;7,621;7,700;0,617;7,509;7,709;;;;0,1234;-0,462;-4,745
123,6000;-0,418;4,398;2,472;-4,325;0,032;432,600000;7,621;7,709;0,618;7,504;7,705;;;;0,1236;-0,457;-4,833
123,8000;-0,418;4,310;2,476;8,466;0,076;433,300000;7,621;7,700;0,619;7,504;7,709;;;;0,1238;-0,452;-4,906
124,0000;-0,422;4,227;2,480;7,446;-0,027;434,000000;7,626;7,709;0,620;7,509;7,709;;;;0,1240;-0,447;-4,989
124,2000;-0,432;4,134;2,484;1,814;-0,056;434,700000;7,617;7,709;0,621;7,504;7,705;;;;0,1242;-0,442;-5,067
124,4000;-0,432;4,046;2,488;-8,276;-0,051;435,400000;7,621;7,709;0,622;7,514;7,709;;;;0,1244;-0,432;-5,140
124,6000;-0,437;3,958;2,492;-6,762;0,027;436,100000;7,621;7,705;0,623;7,509;7,705;;;;0,1246;-0,432;-5,223
124,8000;-0,447;3,871;2,496;1,575;0,037;436,800000;7,621;7,709;0,624;7,509;7,709;;;;0,1248;-0,427;-5,306
125,0000;-0,447;3,783;2,500;8,154;-0,032;437,500000;7,626;7,709;0,625;7,509;7,705;;;;0,1250;-0,427;-5,380
125,2000;-0,447;3,695;2,504;5,722;-0,066;438,200000;7,617;7,705;0,626;7,514;7,705;;;;0,1252;-0,427;-5,453
125,4000;-0,452;3,602;2,508;-7,397;-0,022;438,900000;7,626;7,709;0,627;7,519;7,714;;;;0,1254;-0,418;-5,526
125,6000;-0,457;3,514;2,512;-7,812;0,037;439,600000;7,621;7,705;0,628;7,519;7,705;;;;0,1256;-0,413;-5,604
125,8000;-0,462;3,416;2,516;-4,208;0,037;440,300000;7,621;7,705;0,629;7,514;7,709;;;;0,1258;-0,408;-5,673
126,0000;-0,462;3,324;2,520;8,457;-0,037;441,000000;7,617;7,705;0,630;7,519;7,709;;;;0,1260;-0,398;-5,741
126,2000;-0,471;3,231;2,524;7,392;-0,071;441,700000;7,621;7,705;0,631;7,519;7,705;;;;0,1262;-0,398;-5,814
126,4000;-0,476;3,138;2,528;1,570;-0,007;442,400000;7,626;7,705;0,632;7,519;7,709;;;;0,1264;-0,388;-5,888
126,6000;-0,476;3,035;2,532;-8,261;0,037;443,100000;7,617;7,700;0,633;7,524;7,705;;;;0,1266;-0,388;-5,956
126,8000;-0,476;2,947;2,536;-6,698;0,042;443,800000;7,621;7,705;0,634;7,519;7,709;;;;0,1268;-0,388;-6,015
127,0000;-0,476;2,855;2,540;2,010;-0,056;444,500000;7,621;7,705;0,635;7,529;7,709;;;;0,1270;-0,379;-6,088
127,2000;-0,481;2,762;2,544;8,129;-0,061;445,200000;7,621;7,705;0,636;7,529;7,705;;;;0,1272;-0,369;-6,151
127,4000;-0,486;2,659;2,548;5,600;-0,007;445,900000;7,621;7,709;0,637;7,524;7,714;;;;0,1274;-0,359;-6,215
127,6000;-0,486;2,562;2,552;-7,939;0,066;446,600000;7,621;7,705;0,638;7,529;7,709;;;;0,1276;-0,359;-6,274
127,8000;-0,496;2,459;2,556;-7,783;0,046;447,300000;7,621;7,705;0,639;7,524;7,709;;;;0,1278;-0,359;-6,337
128,0000;-0,501;2,357;2,560;-3,993;-0,066;448,000000;7,621;7,705;0,640;7,529;7,705;;;;0,1280;-0,349;-6,400
128,2000;-0,496;2,269;2,564;8,442;-0,081;448,700000;7,626;7,705;0,641;7,524;7,700;;;;0,1282;-0,344;-6,464
128,4000;-0,496;2,171;2,568;7,353;-0,012;449,400000;7,621;7,705;0,642;7,529;7,709;;;;0,1284;-0,339;-6,513
128,6000;-0,501;2,073;2,572;1,253;0,076;450,100000;7,621;7,709;0,643;7,534;7,709;;;;0,1286;-0,330;-6,571
128,8000;-0,496;1,976;2,576;-8,247;0,042;450,800000;7,621;7,705;0,644;7,529;7,709;;;;0,1288;-0,325;-6,620
129,0000;-0,505;1,873;2,580;-6,611;-0,056;451,500000;7,617;7,700;0,645;7,538;7,709;;;;0,1290;-0,320;-6,674
129,2000;-0,510;1,770;2,584;2,415;-0,100;452,200000;7,626;7,700;0,646;7,534;7,705;;;;0,1292;-0,310;-6,728
129,4000;-0,515;1,673;2,588;8,105;-0,007;452,900000;7,621;7,705;0,647;7,538;7,709;;;;0,1294;-0,305;-6,781
129,6000;-0,515;1,570;2,592;5,453;0,066;453,600000;7,621;7,705;0,648;7,543;7,709;;;;0,1296;-0,305;-6,830
129,8000;-0,515;1,473;2,596;-8,452;0,056;454,300000;7,617;7,705;0,649;7,534;7,709;;;;0,1298;-0,295;-6,884
130,0000;-0,515;1,370;2,600;-7,753;-0,061;455,000000;7,621;7,705;0,650;7,543;7,709;;;;0,1300;-0,291;-6,923
130,2000;-0,515;1,277;2,604;-3,817;-0,105;455,700000;7,626;7,709;0,651;7,538;7,700;;;;0,1302;-0,281;-6,972
130,4000;-0,510;1,175;2,608;8,437;-0,022;456,400000;7,621;7,700;0,652;7,538;7,709;;;;0,1304;-0,271;-7,011
130,6000;-0,520;1,067;2,612;7,280;0,066;457,100000;7,626;7,705;0,653;7,543;7,709;;;;0,1306;-0,266;-7,055
130,8000;-0,515;0,969;2,616;1,013;0,071;457,800000;7,621;7,705;0,654;7,538;7,709;;;;0,1308;-0,261;-7,099
131,0000;-0,520;0,862;2,620;-8,232;-0,066;458,500000;7,621;7,705;0,655;7,548;7,709;;;;0,1310;-0,252;-7,138
131,2000;-0,530;0,764;2,624;-6,527;-0,100;459,200000;7,626;7,709;0,656;7,543;7,705;;;;0,1312;-0,247;-7,182
131,4000;-0,525;0,662;2,628;2,869;-0,056;459,900000;7,621;7,700;0,657;7,548;7,714;;;;0,1314;-0,242;-7,221
131,6000;-0,520;0,564;2,632;8,076;0,071;460,600000;7,626;7,709;0,658;7,548;7,709;;;;0,1316;-0,237;-7,260
131,8000;-0,525;0,462;2,636;5,336;0,076;461,300000;7,617;7,705;0,659;7,543;7,709;;;;0,1318;-0,227;-7,289
132,0000;-0,525;0,359;2,640;-8,447;-0,046;462,000000;7,626;7,705;0,660;7,548;7,709;;;;0,1320;-0,222;-7,324
132,2000;-0,530;0,256;2,644;-7,709;-0,100;462,700000;7,621;7,709;0,661;7,548;7,700;;;;0,1322;-0,212;-7,353
132,4000;-0,530;0,149;2,648;-3,631;-0,061;463,400000;7,621;7,695;0,662;7,548;7,709;;;;0,1324;-0,208;-7,387
132,6000;-0,530;0,042;2,652;8,422;0,056;464,100000;7,621;7,705;0,663;7,553;7,705;;;;0,1326;-0,203;-7,416
132,8000;-0,535;-0,061;2,656;7,231;0,076;464,800000;7,617;7,705;0,664;7,548;7,705;;;;0,1328;-0,198;-7,451
133,0000;-0,535;-0,154;2,660;0,608;-0,022;465,500000;7,626;7,705;0,665;7,553;7,709;;;;0,1330;-0,188;-7,480
133,2000;-0,530;-0,261;2,664;-8,212;-0,095;466,200000;7,621;7,705;0,666;7,553;7,705;;;;0,1332;-0,183;-7,499
133,4000;-0,525;-0,359;2,668;-6,440;-0,061;466,900000;7,621;7,705;0,667;7,553;7,709;;;;0,1334;-0,173;-7,529
133,6000;-0,525;-0,462;2,672;3,460;0,037;467,600000;7,621;7,705;0,668;7,558;7,709;;;;0,1336;-0,168;-7,543
133,8000;-0,530;-0,564;2,676;8,051;0,066;468,300000;7,621;7,700;0,669;7,553;7,705;;;;0,1338;-0,159;-7,563
134,0000;-0,535;-0,672;2,680;5,170;-0,027;469,000000;7,621;7,705;0,670;7,558;7,709;;;;0,1340;-0,149;-7,587
134,2000;-0,530;-0,774;2,684;-8,442;-0,085;469,700000;7,617;7,705;0,671;7,553;7,705;;;;0,1342;-0,149;-7,607
134,4000;-0,530;-0,872;2,688;-7,670;-0,056;470,400000;7,621;7,700;0,672;7,553;7,709;;;;0,1344;-0,139;-7,626
134,6000;-0,530;-0,974;2,692;-3,363;0,027;471,100000;7,621;7,700;0,673;7,558;7,705;;;;0,1346;-0,134;-7,646
134,8000;-0,530;-1,077;2,696;8,418;0,066;471,800000;7,626;7,705;0,674;7,553;7,709;;;;0,1348;-0,134;-7,656
135,0000;-0,530;-1,179;2,700;7,167;-0,032;472,500000;7,621;7,705;0,675;7,563;7,709;;;;0,1350;-0,120;-7,670
135,2000;-0,525;-1,277;2,704;0,305;-0,056;473,200000;7,621;7,700;0,676;7,558;7,709;;;;0,1352;-0,110;-7,680
135,4000;-0,530;-1,385;2,708;-8,193;-0,046;473,900000;7,621;7,705;0,677;7,558;7,709;;;;0,1354;-0,105;-7,695
135,6000;-0,535;-1,492;2,712;-6,337;0,042;474,600000;7,617;7,700;0,678;7,568;7,705;;;;0,1356;-0,100;-7,705
135,8000;-0,535;-1,590;2,716;3,817;0,037;475,300000;7,621;7,705;0,679;7,558;7,705;;;;0,1358;-0,095;-7,719
136,0000;-0,535;-1,687;2,720;8,027;-0,027;476,000000;7,621;7,705;0,680;7,563;7,709;;;;0,1360;-0,090;-7,724
136,2000;-0,525;-1,790;2,724;5,043;-0,071;476,700000;7,621;7,700;0,681;7,563;7,705;;;;0,1362;-0,081;-7,724
136,4000;-0,530;-1,893;2,728;-8,432;-0,042;477,400000;7,621;7,705;0,682;7,563;7,709;;;;0,1364;-0,066;-7,714
136,6000;-0,525;-1,990;2,732;-7,626;0,042;478,100000;7,617;7,705;0,683;7,568;7,709;;;;0,1366;-0,051;-7,709
136,8000;-0,525;-2,093;2,736;-3,177;0,042;478,800000;7,626;7,705;0,684;7,558;7,705;;;;0,1368;-0,042;-7,705
137,0000;-0,525;-2,195;2,740;8,403;-0,027;479,500000;7,621;7,705;0,685;7,563;7,714;;;;0,1370;-0,027;-7,700
137,2000;-0,520;-2,293;2,744;7,104;-0,061;480,200000;7,621;7,705;0,686;7,568;7,709;;;;0,1372;-0,017;-7,685
137,4000;-0,525;-2,396;2,748;-0,042;-0,017;480,900000;7,621;7,705;0,687;7,563;7,709;;;;0,1374;-0,017;-7,680
137,6000;-0,525;-2,493;2,752;-8,183;0,042;481,600000;7,621;7,700;0,688;7,568;7,709;;;;0,1376;-0,007;-7,670
137,8000;-0,520;-2,591;2,756;-6,254;0,037;482,300000;7,626;7,705;0,689;7,563;7,705;;;;0,1378;-0,002;-7,665
138,0000;-0,515;-2,689;2,760;4,427;-0,056;483,000000;7,621;7,705;0,690;7,568;7,709;;;;0,1380;0,012;-7,641
138,2000;-0,515;-2,781;2,764;7,998;-0,066;483,700000;7,626;7,705;0,691;7,568;7,705;;;;0,1382;0,017;-7,626
138,4000;-0,515;-2,879;2,768;4,930;-0,017;484,400000;7,617;7,705;0,692;7,568;7,705;;;;0,1384;0,027;-7,607
138,6000;-0,515;-2,977;2,772;-8,422;0,051;485,100000;7,621;7,705;0,693;7,573;7,714;;;;0,1386;0,042;-7,587
138,8000;-0,515;-3,079;2,776;-7,587;0,037;485,800000;7,621;7,709;0,694;7,573;7,705;;;;0,1388;0,046;-7,568
139,0000;-0,515;-3,177;2,780;-2,923;-0,066;486,500000;7,621;7,705;0,695;7,568;7,705;;;;0,1390;0,051;-7,548
139,2000;-0,510;-3,265;2,784;8,388;-0,076;487,200000;7,626;7,709;0,696;7,573;7,709;;;;0,1392;0,056;-7,534
139,4000;-0,505;-3,363;2,788;7,035;-0,032;487,900000;7,621;7,705;0,697;7,568;7,705;;;;0,1394;0,066;-7,509
139,6000;-0,501;-3,455;2,792;-0,501;0,081;488,600000;7,621;7,709;0,698;7,573;7,714;;;;0,1396;0,071;-7,475
139,8000;-0,501;-3,548;2,796;-8,159;0,042;489,300000;7,621;7,705;0,699;7,573;7,709;;;;0,1398;0,081;-7,446
140,0000;-0,496;-3,641;2,800;-6,137;-0,061;490,000000;7,626;7,700;0,700;7,568;7,709;;;;0,1400;0,090;-7,416
140,2000;-0,496;-3,739;2,804;4,965;-0,095;490,700000;7,626;7,705;0,701;7,578;7,709;;;;0,1402;0,095;-7,387
140,4000;-0,491;-3,832;2,808;7,973;-0,027;491,400000;7,617;7,705;0,702;7,573;7,705;;;;0,1404;0,105;-7,358
140,6000;-0,491;-3,919;2,812;4,686;0,071;492,100000;7,621;7,705;0,703;7,578;7,714;;;;0,1406;0,115;-7,328
140,8000;-0,491;-4,012;2,816;-8,418;0,046;492,800000;7,621;7,705;0,704;7,573;7,705;;;;0,1408;0,120;-7,294
141,0000;-0,481;-4,100;2,820;-7,538;-0,071;493,500000;7,621;7,705;0,705;7,573;7,709;;;;0,1410;0,125;-7,255
141,2000;-0,481;-4,183;2,824;-2,669;-0,105;494,200000;7,621;7,705;0,706;7,582;7,709;;;;0,1412;0,134;-7,216
141,4000;-0,471;-4,271;2,828;8,379;-0,037;494,900000;7,621;7,700;0,707;7,578;7,709;;;;0,1414;0,144;-7,177
141,6000;-0,471;-4,364;2,832;6,947;0,071;495,600000;7,626;7,705;0,708;7,578;7,714;;;;0,1416;0,149;-7,138
141,8000;-0,471;-4,452;2,836;-0,818;0,081;496,300000;7,621;7,705;0,709;7,578;7,709;;;;0,1418;0,164;-7,094
142,0000;-0,466;-4,535;2,840;-8,144;-0,061;497,000000;7,626;7,705;0,710;7,573;7,705;;;;0,1420;0,168;-7,055
142,2000;-0,466;-4,623;2,844;-6,029;-0,100;497,700000;7,621;7,705;0,711;7,582;7,705;;;;0,1422;0,168;-7,011
142,4000;-0,462;-4,701;2,848;5,521;-0,066;498,400000;7,621;7,705;0,712;7,582;7,700;;;;0,1424;0,173;-6,972
142,6000;-0,452;-4,784;2,852;7,929;0,066;499,100000;7,626;7,709;0,713;7,582;7,709;;;;0,1426;0,178;-6,923
142,8000;-0,447;-4,862;2,856;4,554;0,076;499,800000;7,621;7,705;0,714;7,582;7,709;;;;0,1428;0,193;-6,869
143,0000;-0,447;-4,945;2,860;-8,408;-0,061;500,500000;7,626;7,705;0,715;7,578;7,700;;;;0,1430;0,198;-6,821
143,2000;-0,437;-5,028;2,864;-7,480;-0,100;501,200000;7,621;7,700;0,716;7,587;7,709;;;;0,1432;0,203;-6,772
143,4000;-0,442;-5,106;2,868;-2,420;-0,071;501,900000;7,621;7,700;0,717;7,582;7,700;;;;0,1434;0,212;-6,718
143,6000;-0,437;-5,189;2,872;8,364;0,071;502,600000;7,621;7,705;0,718;7,582;7,709;;;;0,1436;0,222;-6,669
143,8000;-0,437;-5,272;2,876;6,889;0,066;503,300000;7,621;7,705;0,719;7,582;7,705;;;;0,1438;0,222;-6,611
144,0000;-0,427;-5,336;2,880;-1,326;-0,032;504,000000;7,626;7,709;0,720;7,578;7,709;;;;0,1440;0,232;-6,557
144,2000;-0,422;-5,414;2,884;-8,125;-0,105;504,700000;7,621;7,700;0,721;7,582;7,714;;;;0,1442;0,232;-6,498
144,4000;-0,418;-5,487;2,888;-5,932;-0,061;505,400000;7,621;7,709;0,722;7,582;7,700;;;;0,1444;0,247;-6,440
144,6000;-0,413;-5,560;2,892;6,098;0,042;506,100000;7,621;7,705;0,723;7,582;7,705;;;;0,1446;0,252;-6,381
