"Laatste: Tijd (s)";"Laatste: Potential 1 (V)";"Laatste: Potential 2 (V)";"Latest: Time (s)";"Latest: Potential 1 (V)";"Latest: Potential 2 (V)";"Meting 1: Tijd (ms)";"Meting 1: Potential 1 (V)";"Meting 1: Potential 2 (V)";"Meting 2: Tijd (s)";"Meting 2: Potential 1 (V)";"Meting 2: Potential 2 (V)";"Meting 3: Tijd (ms)";"Meting 3: Potential 1 (V)";"Meting 3: Potential 2 (V)"
0,0202;-0,154;6,625;0,404;-7,587;-0,095;70,700000;7,543;7,700;0,101;-6,977;-7,055;20,2;1,023;0,276
0,0204;-0,149;6,596;0,408;-2,947;-0,061;71,400000;7,548;7,700;0,102;-6,972;-7,055;20,4;1,028;0,481
0,0206;-0,154;6,567;0,412;8,383;0,042;72,100000;7,548;7,705;0,103;-6,982;-7,060;20,6;1,023;0,686
0,0208;-0,154;6,542;0,416;7,040;0,066;72,800000;7,548;7,700;0,104;-6,972;-7,045;20,8;1,023;0,886
0,0210;-0,154;6,508;0,420;-0,388;-0,022;73,500000;7,553;7,700;0,105;-6,977;-7,055;21,0;1,028;1,092
0,0212;-0,159;6,474;0,424;-8,168;-0,095;74,200000;7,548;7,695;0,106;-6,977;-7,050;21,2;1,018;1,297
0,0214;-0,159;6,440;0,428;-6,181;-0,051;74,900000;7,553;7,705;0,107;-6,972;-7,050;21,4;1,028;1,502
0,0216;-0,168;6,405;0,432;4,818;0,017;75,600000;7,548;7,709;0,108;-6,982;-7,050;21,6;1,023;1,707
0,0218;-0,164;6,381;0,436;7,978;0,076;76,300000;7,548;7,700;0,109;-6,972;-7,045;21,8;1,023;1,907
0,0220;-0,164;6,352;0,440;4,764;-0,032;77,000000;7,558;7,705;0,110;-6,977;-7,060;22,0;1,023;2,112
0,0222;-0,164;6,317;0,444;-8,422;-0,095;77,700000;7,548;7,700;0,111;-6,977;-7,055;22,2;1,018;2,303
0,0224;-0,164;6,288;0,448;-7,568;-0,051;78,400000;7,553;7,705;0,112;-6,977;-7,055;22,4;1,009;2,503
0,0226;-0,168;6,254;0,452;-2,791;0,017;79,100000;7,553;7,705;0,113;-6,977;-7,060;22,6;0,999;2,689
0,0228;-0,173;6,215;0,456;8,388;0,081;79,800000;7,558;7,705;0,114;-6,977;-7,050;22,8;0,989;2,889
0,0230;-0,173;6,181;0,460;6,996;-0,032;80,500000;7,553;7,709;0,115;-6,972;-7,055;23,0;0,994;3,079
0,0232;-0,178;6,151;0,464;-0,564;-0,061;81,200000;7,548;7,695;0,116;-6,977;-7,055;23,2;0,984;3,270
0,0234;-0,178;6,117;0,468;-8,168;-0,051;81,900000;7,558;7,705;0,117;-6,972;-7,050;23,4;0,979;3,455
0,0236;-0,178;6,083;0,472;-6,142;0,012;82,600000;7,553;7,700;0,118;-6,972;-7,055;23,6;0,969;3,636
0,0238;-0,178;6,049;0,476;5,018;0,046;83,300000;7,558;7,700;0,119;-6,972;-7,050;23,8;0,955;3,817
0,0240;-0,173;6,015;0,480;7,963;-0,027;84,000000;7,553;7,705;0,120;-6,977;-7,050;24,0;0,945;3,998
0,0242;-0,178;5,976;0,484;4,672;-0,061;84,700000;7,558;7,695;0,121;-6,982;-7,055;24,2;0,930;4,168
0,0244;-0,183;5,941;0,488;-8,422;-0,051;85,400000;7,563;7,705;0,122;-6,972;-7,055;24,4;0,926;4,339
0,0246;-0,188;5,902;0,492;-7,543;0,022;86,100000;7,553;7,700;0,123;-6,977;-7,060;24,6;0,911;4,515
0,0248;-0,193;5,868;0,496;-2,718;0,037;86,800000;7,563;7,700;0,124;-6,977;-7,050;24,8;0,901;4,686
0,0250;-0,193;5,829;0,500;8,379;-0,037;87,500000;7,558;7,700;0,125;-6,972;-7,050;25,0;0,891;4,852
0,0252;-0,188;5,795;0,504;6,957;-0,066;88,200000;7,558;7,700;0,126;-6,982;-7,050;25,2;0,877;5,009
0,0254;-0,188;5,756;0,508;-0,794;-0,012;88,900000;7,558;7,705;0,127;-6,967;-7,045;25,4;0,857;5,160
0,0256;-0,188;5,722;0,512;-8,149;0,022;89,600000;7,558;7,700;0,128;-6,972;-7,055;25,6;0,842;5,311
0,0258;-0,193;5,678;0,516;-6,078;0,046;90,300000;7,563;7,709;0,129;-6,977;-7,050;25,8;0,823;5,463
0,0260;-0,198;5,639;0,520;5,346;-0,071;91,000000;7,563;7,700;0,130;-6,972;-7,055;26,0;0,808;5,609
0,0262;-0,203;5,600;0,524;7,934;-0,076;91,700000;7,563;7,700;0,131;-6,982;-7,060;26,2;0,794;5,751
0,0264;-0,203;5,565;0,528;4,598;-0,017;92,400000;7,558;7,700;0,132;-6,972;-7,055;26,4;0,784;5,893
0,0266;-0,203;5,531;0,532;-8,418;0,017;93,100000;7,563;7,705;0,133;-6,977;-7,060;26,6;0,764;6,029
0,0268;-0,203;5,492;0,536;-7,519;0,046;93,800000;7,563;7,709;0,134;-6,977;-7,050;26,8;0,745;6,156
0,0270;-0,198;5,458;0,540;-2,557;-0,071;94,500000;7,563;7,705;0,135;-6,972;-7,055;27,0;0,720;6,278
0,0272;-0,203;5,414;0,544;8,359;-0,066;95,200000;7,568;7,705;0,136;-6,977;-7,050;27,2;0,701;6,400
0,0274;-0,208;5,375;0,548;6,923;-0,027;95,900000;7,563;7,700;0,137;-6,967;-7,050;27,4;0,676;6,508
0,0276;-0,208;5,331;0,552;-1,053;0,056;96,600000;7,568;7,700;0,138;-6,972;-6,889;27,6;0,662;6,625
0,0278;-0,212;5,287;0,556;-8,149;0,046;97,300000;7,563;7,705;0,139;-6,894;7,641;27,8;0,642;6,733
0,0280;-0,212;5,248;0,560;-6,015;-0,066;98,000000;7,573;7,705;0,140;-6,747;7,631;28,0;0,618;6,835
0,0282;-0,212;5,209;0,564;5,639;-0,100;98,700000;7,568;7,709;0,141;-6,606;7,636;28,2;0,598;6,938
0,0284;-0,212;5,170;0,568;7,929;-0,027;99,400000;7,563;7,700;0,142;-6,459;7,641;28,4;0,574;7,026
0,0286;-0,212;5,131;0,572;4,486;0,046;100,100000;7,568;7,709;0,143;-6,327;7,631;28,6;0,554;7,114
0,0288;-0,212;5,087;0,576;-8,413;0,051;100,800000;7,563;7,700;0,144;-6,186;7,631;28,8;0,525;7,192
0,0290;-0,217;5,043;0,580;-7,499;-0,066;101,500000;7,573;7,700;0,145;-6,044;7,636;29,0;0,501;7,265
0,0292;-0,217;4,999;0,584;-2,420;-0,110;102,200000;7,563;7,705;0,146;-5,907;7,636;29,2;0,481;7,343
0,0294;-0,222;4,960;0,588;8,354;-0,027;102,900000;7,568;7,700;0,147;-5,775;7,641;29,4;0,457;7,416
0,0296;-0,227;4,926;0,592;6,874;0,042;103,600000;7,568;7,709;0,148;-5,639;7,636;29,6;0,432;7,475
0,0298;-0,222;4,877;0,596;-1,199;0,081;104,300000;7,568;7,700;0,149;-5,507;7,636;29,8;0,408;7,534
0,0300;-0,222;4,833;0,600;-8,129;-0,061;105,000000;7,573;7,700;0,150;-5,375;7,636;30,0;0,383;7,587
0,0302;-0,222;4,799;0,604;-5,946;-0,100;105,700000;7,563;7,705;0,151;-5,253;7,626;30,2;0,359;7,626
0,0304;-0,222;4,750;0,608;5,897;-0,042;106,400000;7,573;7,700;0,152;-5,121;7,641;30,4;0,330;7,665
0,0306;-0,222;4,706;0,612;7,900;0,051;107,100000;7,573;7,709;0,153;-4,994;7,636;30,6;0,305;7,709
0,0308;-0,227;4,657;0,616;4,418;0,085;107,800000;7,578;7,700;0,154;-4,872;7,641;30,8;0,281;7,739
0,0310;-0,227;4,613;0,620;-8,413;-0,066;108,500000;7,573;7,705;0,155;-4,745;7,641;31,0;0,256;7,768
0,0312;-0,227;4,579;0,624;-7,470;-0,105;109,200000;7,568;7,700;0,156;-4,628;7,641;31,2;0,237;7,797
0,0314;-0,227;4,530;0,628;-2,303;-0,056;109,900000;7,573;7,700;0,157;-4,501;7,641;31,4;0,208;7,802
0,0316;-0,227;4,486;0,632;8,349;0,046;110,600000;7,573;7,700;0,158;-4,379;7,641;31,6;0,168;7,797
0,0318;-0,232;4,447;0,636;6,850;0,085;111,300000;7,573;7,705;0,159;-4,261;7,636;31,8;0,134;7,792
0,0320;-0,227;4,398;0,640;-1,414;-0,022;112,000000;7,573;7,705;0,160;-4,139;7,641;32,0;0,100;7,783
0,0322;-0,232;4,354;0,644;-8,125;-0,100;112,700000;7,573;7,700;0,161;-4,022;7,636;32,2;0,066;7,768
0,0324;-0,242;4,310;0,648;-5,897;-0,061;113,400000;7,578;7,705;0,162;-3,910;7,641;32,4;0,046;7,753
0,0326;-0,237;4,256;0,652;6,264;0,022;114,100000;7,568;7,700;0,163;-3,792;7,641;32,6;0,012;7,729
0,0328;-0,242;4,217;0,656;7,905;0,076;114,800000;7,573;7,700;0,164;-3,685;7,641;32,8;-0,017;7,695
0,0330;-0,237;4,168;0,660;4,315;-0,017;115,500000;7,568;7,705;0,165;-3,563;7,641;33,0;-0,042;7,656
0,0332;-0,237;4,125;0,664;-8,398;-0,095;116,200000;7,578;7,705;0,166;-3,460;7,636;33,2;-0,076;7,617
0,0334;-0,237;4,076;0,668;-7,451;-0,051;116,900000;7,578;7,709;0,167;-3,348;7,641;33,4;-0,100;7,568
0,0336;-0,237;4,032;0,672;-2,147;0,017;117,600000;7,573;7,700;0,168;-3,236;7,641;33,6;-0,134;7,514
0,0338;-0,242;3,983;0,676;8,349;0,066;118,300000;7,573;7,700;0,169;-3,133;7,641;33,8;-0,154;7,465
0,0340;-0,247;3,939;0,680;6,806;-0,027;119,000000;7,573;7,700;0,170;-3,021;7,646;34,0;-0,183;7,402
0,0342;-0,247;3,885;0,684;-1,639;-0,061;119,700000;7,582;7,705;0,171;-2,913;7,636;34,2;-0,208;7,338
0,0344;-0,247;3,841;0,688;-8,110;-0,046;120,400000;7,573;7,700;0,172;-2,816;7,641;34,4;-0,232;7,270
0,0346;-0,247;3,792;0,692;-5,824;0,017;121,100000;7,573;7,700;0,173;-2,708;7,641;34,6;-0,256;7,192
0,0348;-0,247;3,748;0,696;6,508;0,056;121,800000;7,578;7,705;0,174;-2,606;7,636;34,8;-0,286;7,109
0,0350;-0,252;3,705;0,700;7,875;-0,027;122,500000;7,582;7,700;0,175;-2,503;7,651;35,0;-0,315;7,016
0,0352;-0,252;3,646;0,704;4,222;-0,061;123,200000;7,582;7,705;0,176;-2,400;7,646;35,2;-0,339;6,928
0,0354;-0,252;3,602;0,708;-8,398;-0,046;123,900000;7,573;7,705;0,177;-2,303;7,651;35,4;-0,364;6,835
0,0356;-0,252;3,548;0,712;-7,416;0,022;124,600000;7,582;7,705;0,178;-2,200;7,646;35,6;-0,388;6,737
0,0358;-0,256;3,499;0,716;-2,010;0,042;125,300000;7,573;7,700;0,179;-2,107;7,651;35,8;-0,413;6,635
0,0360;-0,252;3,455;0,720;8,344;-0,027;126,000000;7,578;7,700;0,180;-2,010;7,651;36,0;-0,437;6,523
0,0362;-0,256;3,407;0,724;6,762;-0,056;126,700000;7,578;7,709;0,181;-1,912;7,651;36,2;-0,466;6,405
0,0364;-0,256;3,353;0,728;-1,873;-0,012;127,400000;7,582;7,705;0,182;-1,819;7,651;36,4;-0,491;6,283
0,0366;-0,256;3,314;0,732;-8,100;0,022;128,100000;7,582;7,700;0,183;-1,726;7,651;36,6;-0,515;6,156
0,0368;-0,256;3,255;0,736;-5,775;0,042;128,800000;7,573;7,700;0,184;-1,634;7,646;36,8;-0,540;6,034
0,0370;-0,256;3,211;0,740;6,855;-0,061;129,500000;7,582;7,705;0,185;-1,541;7,651;37,0;-0,554;5,902
0,0372;-0,261;3,158;0,744;7,856;-0,066;130,200000;7,582;7,700;0,186;-1,448;7,651;37,2;-0,579;5,770
0,0374;-0,266;3,104;0,748;4,115;-0,017;130,900000;7,582;7,695;0,187;-1,360;7,651;37,4;-0,598;5,634
0,0376;-0,261;3,055;0,752;-8,388;0,022;131,600000;7,582;7,705;0,188;-1,263;7,656;37,6;-0,623;5,487
0,0378;-0,261;3,006;0,756;-7,387;0,046;132,300000;7,573;7,700;0,189;-1,175;7,646;37,8;-0,642;5,341
0,0380;-0,266;2,957;0,760;-1,814;-0,066;133,000000;7,582;7,705;0,190;-1,092;7,656;38,0;-0,667;5,184
0,0382;-0,261;2,913;0,764;8,330;-0,071;133,700000;7,582;7,705;0,191;-1,004;7,651;38,2;-0,691;5,033
0,0384;-0,266;2,855;0,768;6,708;-0,022;134,400000;7,582;7,700;0,192;-0,926;7,651;38,4;-0,706;4,877
0,0386;-0,266;2,806;0,772;-2,230;0,051;135,100000;7,582;7,705;0,193;-0,833;7,656;38,6;-0,725;4,720
0,0388;-0,266;2,752;0,776;-8,085;0,046;135,800000;7,582;7,695;0,194;-0,750;7,646;38,8;-0,745;4,554
0,0390;-0,271;2,698;0,780;-5,692;-0,066;136,500000;7,582;7,705;0,195;-0,672;7,651;39,0;-0,764;4,388
0,0392;-0,271;2,650;0,784;7,226;-0,085;137,200000;7,578;7,700;0,196;-0,584;7,656;39,2;-0,774;4,212
0,0394;-0,271;2,606;0,788;7,832;-0,022;137,900000;7,587;7,705;0,197;-0,505;7,651;39,4;-0,799;4,042
0,0396;-0,271;2,552;0,792;3,968;0,061;138,600000;7,582;7,705;0,198;-0,422;7,656;39,6;-0,818;3,866
0,0398;-0,266;2,503;0,796;-8,383;0,051;139,300000;7,587;7,700;0,199;-0,344;7,661;39,8;-0,838;3,675
0,0400;-0,266;2,444;0,800;-7,363;-0,066;140,000000;7,587;7,709;0,200;-0,266;7,656;40,0;-0,852;3,504
0,0402;-0,266;2,396;0,804;-1,648;-0,110;140,700000;7,587;7,700;0,201;-0,183;7,656;40,2;-0,867;3,324
