"Laatste: Tijd (s)";"Laatste: Potential 1 (V)";"Laatste: Potential 2 (V)";"Latest: Time (s)";"Latest: Potential 1 (V)";"Latest: Potential 2 (V)";"Meting 1: Tijd (ms)";"Meting 1: Potential 1 (V)";"Meting 1: Potential 2 (V)";"Meting 2: Tijd (s)";"Meting 2: Potential 1 (V)";"Meting 2: Potential 2 (V)";"Meting 3: Tijd (ms)";"Meting 3: Potential 1 (V)";"Meting 3: Potential 2 (V)"
0,0000;0,042;7,797;0,000;5,629;-0,027;0,000000;7,475;7,705;0,000;-6,967;-7,055;0,0;-1,043;-2,557
0,0002;0,042;7,802;0,004;-7,817;-0,081;0,700000;7,480;7,700;0,001;-6,972;-7,050;0,2;-1,023;-2,752
0,0004;0,042;7,807;0,008;-7,792;-0,056;1,400000;7,475;7,705;0,002;-6,967;-7,055;0,4;-1,023;-2,952
0,0006;0,032;7,817;0,012;-4,037;0,012;2,100000;7,475;7,695;0,003;-6,972;-7,055;0,6;-1,023;-3,143
0,0008;0,032;7,822;0,016;8,442;0,071;2,800000;7,480;7,700;0,004;-6,967;-7,050;0,8;-1,009;-3,333
0,0010;0,037;7,827;0,020;7,353;-0,032;3,500000;7,475;7,700;0,005;-6,967;-7,055;1,0;-1,009;-3,519
0,0012;0,032;7,841;0,024;1,380;-0,066;4,200000;7,485;7,700;0,006;-6,972;-7,055;1,2;-0,994;-3,705
0,0014;0,032;7,846;0,028;-8,266;-0,051;4,900000;7,475;7,700;0,007;-6,967;-7,045;1,4;-0,984;-3,885
0,0016;0,032;7,856;0,032;-6,650;0,017;5,600000;7,485;7,700;0,008;-6,977;-7,050;1,6;-0,974;-4,061
0,0018;0,027;7,856;0,036;2,181;0,037;6,300000;7,480;7,705;0,009;-6,962;-7,050;1,8;-0,960;-4,242
0,0020;0,027;7,866;0,040;8,110;-0,037;7,000000;7,485;7,700;0,010;-6,972;-7,060;2,0;-0,955;-4,413
0,0022;0,022;7,871;0,044;5,531;-0,061;7,700000;7,490;7,705;0,011;-6,972;-7,050;2,2;-0,945;-4,593
0,0024;0,022;7,871;0,048;-8,208;-0,042;8,400000;7,485;7,700;0,012;-6,967;-7,055;2,4;-0,930;-4,755
0,0026;0,022;7,880;0,052;-7,778;0,017;9,100000;7,485;7,700;0,013;-6,972;-7,055;2,6;-0,916;-4,916
0,0028;0,017;7,885;0,056;-3,968;0,037;9,800000;7,485;7,700;0,014;-6,972;-7,050;2,8;-0,901;-5,077
0,0030;0,022;7,890;0,060;8,437;-0,032;10,500000;7,490;7,700;0,015;-6,967;-7,050;3,0;-0,886;-5,228
0,0032;0,017;7,900;0,064;7,319;-0,071;11,200000;7,490;7,705;0,016;-6,972;-7,050;3,2;-0,867;-5,380
0,0034;0,017;7,900;0,068;1,194;-0,017;11,900000;7,490;7,695;0,017;-6,967;-7,050;3,4;-0,847;-5,526
0,0036;0,017;7,900;0,072;-8,252;0,017;12,600000;7,495;7,700;0,018;-6,972;-7,055;3,6;-0,833;-5,673
0,0038;0,002;7,895;0,076;-6,611;0,042;13,300000;7,485;7,700;0,019;-6,967;-7,045;3,8;-0,818;-5,814
0,0040;0,002;7,890;0,080;2,454;-0,061;14,000000;7,499;7,700;0,020;-6,972;-7,055;4,0;-0,803;-5,956
0,0042;-0,002;7,895;0,084;8,090;-0,076;14,700000;7,495;7,700;0,021;-6,972;-7,060;4,2;-0,789;-6,078
0,0044;-0,002;7,895;0,088;5,458;-0,027;15,400000;7,495;7,700;0,022;-6,972;-7,050;4,4;-0,759;-6,205
0,0046;-0,002;7,895;0,092;-8,457;0,037;16,100000;7,499;7,705;0,023;-6,977;-7,055;4,6;-0,740;-6,322
0,0048;-0,007;7,890;0,096;-7,753;0,046;16,800000;7,490;7,700;0,024;-6,967;-7,045;4,8;-0,711;-6,440
0,0050;-0,012;7,880;0,100;-3,827;-0,066;17,500000;7,499;7,705;0,025;-6,972;-7,050;5,0;-0,696;-6,557
0,0052;-0,017;7,875;0,104;8,432;-0,066;18,200000;7,495;7,700;0,026;-6,972;-7,050;5,2;-0,672;-6,664
0,0054;-0,022;7,875;0,108;7,289;-0,032;18,900000;7,499;7,700;0,027;-6,967;-7,050;5,4;-0,652;-6,762
0,0056;-0,027;7,875;0,112;0,974;0,056;19,600000;7,499;7,705;0,028;-6,972;-7,055;5,6;-0,632;-6,864
0,0058;-0,022;7,866;0,116;-8,242;0,046;20,300000;7,495;7,690;0,029;-6,967;-7,050;5,8;-0,598;-6,947
0,0060;-0,027;7,861;0,120;-6,562;-0,071;21,000000;7,504;7,705;0,030;-6,972;-7,055;6,0;-0,579;-7,035
0,0062;-0,027;7,861;0,124;2,772;-0,110;21,700000;7,499;7,695;0,031;-6,972;-7,055;6,2;-0,554;-7,109
0,0064;-0,027;7,856;0,128;8,081;-0,027;22,400000;7,504;7,700;0,032;-6,967;-7,055;6,4;-0,525;-7,192
0,0066;-0,027;7,846;0,132;5,360;0,056;23,100000;7,499;7,700;0,033;-6,977;-7,060;6,6;-0,501;-7,260
0,0068;-0,037;7,836;0,136;-8,457;0,071;23,800000;7,504;7,700;0,034;-6,967;-7,050;6,8;-0,481;-7,324
0,0070;-0,037;7,827;0,140;-7,734;-0,056;24,500000;7,504;7,700;0,035;-6,972;-7,060;7,0;-0,452;-7,387
0,0072;-0,037;7,817;0,144;-3,719;-0,100;25,200000;7,509;7,690;0,036;-6,972;-7,050;7,2;-0,422;-7,431
0,0074;-0,042;7,817;0,148;8,427;-0,027;25,900000;7,509;7,705;0,037;-6,967;-7,050;7,4;-0,393;-7,480
0,0076;-0,042;7,807;0,152;7,250;0,051;26,600000;7,504;7,700;0,038;-6,977;-7,055;7,6;-0,369;-7,524
0,0078;-0,042;7,802;0,156;0,857;0,085;27,300000;7,509;7,700;0,039;-6,967;-7,050;7,8;-0,339;-7,558
0,0080;-0,037;7,792;0,160;-8,232;-0,056;28,000000;7,509;7,705;0,040;-6,972;-7,050;8,0;-0,310;-7,587
0,0082;-0,042;7,783;0,164;-6,498;-0,090;28,700000;7,514;7,705;0,041;-6,972;-7,050;8,2;-0,291;-7,617
0,0084;-0,051;7,773;0,168;2,996;-0,051;29,400000;7,509;7,705;0,042;-6,972;-7,055;8,4;-0,266;-7,636
0,0086;-0,056;7,758;0,172;8,066;0,046;30,100000;7,509;7,695;0,043;-6,977;-7,055;8,6;-0,232;-7,641
0,0088;-0,056;7,748;0,176;5,297;0,076;30,800000;7,514;7,705;0,044;-6,972;-7,045;8,8;-0,193;-7,636
0,0090;-0,056;7,744;0,180;-8,452;-0,046;31,500000;7,509;7,695;0,045;-6,972;-7,055;9,0;-0,154;-7,626
0,0092;-0,056;7,734;0,184;-7,700;-0,090;32,200000;7,514;7,700;0,046;-6,977;-7,050;9,2;-0,115;-7,612
0,0094;-0,056;7,724;0,188;-3,592;-0,051;32,900000;7,509;7,700;0,047;-6,967;-7,050;9,4;-0,085;-7,592
0,0096;-0,056;7,714;0,192;8,422;0,051;33,600000;7,514;7,695;0,048;-6,972;-7,055;9,6;-0,051;-7,568
0,0098;-0,061;7,700;0,196;7,231;0,081;34,300000;7,514;7,705;0,049;-6,972;-7,050;9,8;-0,027;-7,538
0,0100;-0,066;7,685;0,200;0,589;-0,027;35,000000;7,514;7,700;0,050;-6,972;-7,060;10,0;0,007;-7,509
0,0102;-0,066;7,670;0,204;-8,227;-0,100;35,700000;7,524;7,700;0,051;-6,972;-7,050;10,2;0,037;-7,465
0,0104;-0,071;7,661;0,208;-6,454;-0,056;36,400000;7,519;7,700;0,052;-6,967;-7,055;10,4;0,071;-7,411
0,0106;-0,066;7,651;0,212;3,368;0,012;37,100000;7,519;7,705;0,053;-6,977;-7,060;10,6;0,100;-7,353
0,0108;-0,071;7,636;0,216;8,061;0,071;37,800000;7,519;7,705;0,054;-6,972;-7,050;10,8;0,129;-7,294
0,0110;-0,071;7,621;0,220;5,194;-0,027;38,500000;7,524;7,700;0,055;-6,977;-7,055;11,0;0,164;-7,231
0,0112;-0,071;7,612;0,224;-8,447;-0,081;39,200000;7,519;7,700;0,056;-6,972;-7,050;11,2;0,193;-7,158
0,0114;-0,076;7,592;0,228;-7,690;-0,061;39,900000;7,524;7,695;0,057;-6,967;-7,050;11,4;0,222;-7,084
0,0116;-0,076;7,578;0,232;-3,446;0,002;40,600000;7,529;7,705;0,058;-6,977;-7,050;11,6;0,247;-7,001
0,0118;-0,081;7,563;0,236;8,418;0,071;41,300000;7,519;7,700;0,059;-6,972;-7,050;11,8;0,276;-6,918
0,0120;-0,085;7,543;0,240;7,187;-0,037;42,000000;7,524;7,705;0,060;-6,977;-7,055;12,0;0,305;-6,816
0,0122;-0,085;7,534;0,244;0,413;-0,056;42,700000;7,524;7,705;0,061;-6,977;-7,055;12,2;0,339;-6,718
0,0124;-0,085;7,519;0,248;-8,212;-0,051;43,400000;7,524;7,700;0,062;-6,972;-7,055;12,4;0,369;-6,611
0,0126;-0,085;7,499;0,252;-6,386;0,012;44,100000;7,529;7,700;0,063;-6,977;-7,055;12,6;0,398;-6,498
0,0128;-0,085;7,490;0,256;3,587;0,046;44,800000;7,524;7,700;0,064;-6,967;-7,045;12,8;0,422;-6,386
0,0130;-0,085;7,465;0,260;8,032;-0,027;45,500000;7,534;7,705;0,065;-6,972;-7,055;13,0;0,452;-6,269
0,0132;-0,085;7,451;0,264;5,096;-0,066;46,200000;7,524;7,700;0,066;-6,972;-7,050;13,2;0,476;-6,147
0,0134;-0,095;7,426;0,268;-8,447;-0,046;46,900000;7,529;7,700;0,067;-6,972;-7,050;13,4;0,501;-6,015
0,0136;-0,100;7,411;0,272;-7,656;0,022;47,600000;7,529;7,705;0,068;-6,972;-7,055;13,6;0,530;-5,878
0,0138;-0,095;7,397;0,276;-3,353;0,037;48,300000;7,524;7,695;0,069;-6,967;-7,050;13,8;0,559;-5,736
0,0140;-0,095;7,382;0,280;8,403;-0,037;49,000000;7,534;7,705;0,070;-6,972;-7,060;14,0;0,584;-5,590
0,0142;-0,095;7,368;0,284;7,138;-0,066;49,700000;7,529;7,700;0,071;-6,977;-7,055;14,2;0,613;-5,438
0,0144;-0,095;7,348;0,288;0,217;-0,007;50,400000;7,529;7,700;0,072;-6,972;-7,055;14,4;0,637;-5,292
0,0146;-0,100;7,319;0,292;-8,208;0,017;51,100000;7,529;7,700;0,073;-6,977;-7,055;14,6;0,657;-5,136
0,0148;-0,105;7,299;0,296;-6,347;0,042;51,800000;7,534;7,705;0,074;-6,972;-7,050;14,8;0,676;-4,979
0,0150;-0,110;7,275;0,300;3,968;-0,076;52,500000;7,534;7,700;0,075;-6,972;-7,055;15,0;0,696;-4,813
0,0152;-0,110;7,250;0,304;8,017;-0,081;53,200000;7,534;7,690;0,076;-6,972;-7,050;15,2;0,725;-4,637
0,0154;-0,110;7,236;0,308;5,033;-0,022;53,900000;7,538;7,700;0,077;-6,972;-7,050;15,4;0,745;-4,466
0,0156;-0,110;7,211;0,312;-8,437;0,027;54,600000;7,534;7,700;0,078;-6,977;-7,055;15,6;0,769;-4,291
0,0158;-0,110;7,197;0,316;-7,636;0,046;55,300000;7,538;7,705;0,079;-6,972;-7,055;15,8;0,789;-4,110
0,0160;-0,110;7,177;0,320;-3,182;-0,066;56,000000;7,534;7,705;0,080;-6,977;-7,060;16,0;0,803;-3,934
0,0162;-0,115;7,148;0,324;8,393;-0,066;56,700000;7,538;7,709;0,081;-6,977;-7,055;16,2;0,823;-3,753
0,0164;-0,120;7,123;0,328;7,104;-0,022;57,400000;7,534;7,709;0,082;-6,972;-7,055;16,4;0,842;-3,563
0,0166;-0,125;7,099;0,332;-0,061;0,051;58,100000;7,538;7,690;0,083;-6,977;-7,055;16,6;0,852;-3,372
0,0168;-0,125;7,074;0,336;-8,193;0,042;58,800000;7,548;7,705;0,084;-6,972;-7,055;16,8;0,877;-3,182
0,0170;-0,125;7,055;0,340;-6,278;-0,066;59,500000;7,538;7,700;0,085;-6,972;-7,055;17,0;0,886;-2,982
0,0172;-0,125;7,031;0,344;4,208;-0,100;60,200000;7,543;7,700;0,086;-6,977;-7,050;17,2;0,906;-2,786
0,0174;-0,125;7,011;0,348;8,012;-0,022;60,900000;7,538;7,705;0,087;-6,972;-7,055;17,4;0,921;-2,591
0,0176;-0,125;6,982;0,352;4,911;0,051;61,600000;7,543;7,700;0,088;-6,982;-7,055;17,6;0,930;-2,391
0,0178;-0,129;6,957;0,356;-8,432;0,046;62,300000;7,538;7,705;0,089;-6,972;-7,050;17,8;0,940;-2,195
0,0180;-0,134;6,928;0,360;-7,617;-0,061;63,000000;7,543;7,700;0,090;-6,972;-7,060;18,0;0,950;-2,000
0,0182;-0,139;6,899;0,364;-3,079;-0,115;63,700000;7,548;7,705;0,091;-6,977;-7,055;18,2;0,965;-1,790
0,0184;-0,139;6,869;0,368;8,393;-0,027;64,400000;7,538;7,705;0,092;-6,972;-7,055;18,4;0,974;-1,585
0,0186;-0,134;6,850;0,372;7,070;0,051;65,100000;7,548;7,705;0,093;-6,982;-7,055;18,6;0,984;-1,375
0,0188;-0,139;6,821;0,376;-0,154;0,085;65,800000;7,543;7,705;0,094;-6,972;-7,050;18,8;0,994;-1,170
0,0190;-0,139;6,801;0,380;-8,183;-0,066;66,500000;7,548;7,705;0,095;-6,977;-7,060;19,0;0,999;-0,965
0,0192;-0,139;6,767;0,384;-6,239;-0,100;67,200000;7,543;7,705;0,096;-6,977;-7,050;19,2;1,004;-0,759
0,0194;-0,144;6,742;0,388;4,505;-0,061;67,900000;7,543;7,700;0,097;-6,972;-7,050;19,4;1,004;-0,554
0,0196;-0,144;6,713;0,392;7,988;0,046;68,600000;7,548;7,705;0,098;-6,982;-7,055;19,6;1,009;-0,354
0,0198;-0,149;6,679;0,396;4,877;0,085;69,300000;7,543;7,700;0,099;-6,977;-7,050;19,8;1,013;-0,144
0,0200;-0,154;6,650;0,400;-8,427;-0,056;70,000000;7,548;7,700;0,100;-6,977;-7,060;20,0;1,018;0,066
