Laatste: Tijd (s),Laatste: Potential 1 (V),Laatste: Potential 2 (V)
0.196,-0.584,7.656000000000001
0.19699999999999998,-0.505,7.651
0.198,-0.42200000000000004,7.656000000000001
0.19899999999999998,-0.344,7.6610000000000005
0.2,-0.266,7.656000000000001
0.201,-0.183,7.656000000000001
0.20199999999999999,-0.11,7.651
0.203,-0.032,7.6610000000000005
0.204,0.046,7.656000000000001
0.205,0.12,7.665
0.20600000000000002,0.198,7.6610000000000005
0.207,0.266,7.6610000000000005
0.20800000000000002,0.344,7.6610000000000005
0.209,0.413,7.656000000000001
0.21,0.486,7.6610000000000005
0.21100000000000002,0.5589999999999999,7.6610000000000005
0.212,0.623,7.6610000000000005
0.213,0.696,7.665
0.214,0.764,7.6610000000000005
0.215,0.828,7.656000000000001
0.21600000000000003,0.9059999999999999,7.6610000000000005
0.217,0.9690000000000001,7.6610000000000005
0.218,1.033,7.67
0.21899999999999997,1.101,7.665
0.22,1.16,7.6610000000000005
0.221,1.228,7.6610000000000005
0.222,1.2919999999999998,7.6610000000000005
0.223,1.355,7.665
0.22399999999999998,1.419,7.67
0.225,1.4769999999999999,7.665
0.226,1.541,7.67
0.22699999999999998,1.6,7.665
0.228,1.6580000000000001,7.67
0.22899999999999998,1.722,7.665
0.23,1.775,7.665
0.231,1.839,7.665
0.23199999999999998,1.893,7.665
0.233,1.946,7.665
0.23399999999999999,2.01,7.67
0.235,2.059,7.6610000000000005
0.23600000000000002,2.122,7.67
0.237,2.176,7.665
0.23800000000000002,2.225,7.67
0.239,2.283,7.67
0.24,2.327,7.665
0.24100000000000002,2.386,7.67
0.242,2.435,7.665
0.243,2.484,7.67
0.244,2.537,7.67
0.245,2.5860000000000003,7.67
0.24600000000000002,2.64,7.675
0.247,2.694,7.675
0.248,2.737,7.67
0.249,2.7910000000000004,7.675
0.25,2.83,7.665
0.251,2.884,7.675
0.252,2.928,7.67
0.253,2.977,7.67
0.254,3.0260000000000002,7.675
0.255,3.07,7.675
0.256,3.114,7.675
0.257,3.158,7.675
0.258,3.201,7.675
0.259,3.25,7.675
0.26,3.284,7.67
0.261,3.333,7.675
0.262,3.377,7.68
0.263,3.4160000000000004,7.675
0.264,3.46,7.68
0.265,3.4989999999999997,7.675
0.266,3.5380000000000003,7.675
0.267,3.582,7.675
0.268,3.6210000000000004,7.68
0.26899999999999996,3.665,7.68
0.27,3.695,7.67
0.271,3.739,7.68
0.272,3.783,7.68
0.273,3.812,7.68
0.27399999999999997,3.861,7.685
0.275,3.89,7.675
0.276,3.9339999999999997,7.68
0.27699999999999997,3.968,7.68
0.278,3.998,7.68
0.27899999999999997,4.046,7.685
0.28,4.0760000000000005,7.675
0.281,4.105,7.68
0.282,4.144,7.68
0.28300000000000003,4.173,7.67
0.284,4.212,7.685
0.285,4.252,7.68
0.28600000000000003,4.281000000000001,7.68
0.287,4.32,7.685
0.28800000000000003,4.349,7.675
0.289,4.379,7.685
0.29,4.413,7.68
0.29100000000000004,4.437,7.68
0.292,4.476,7.68
0.293,4.505,7.685
0.294,4.54,7.685
0.295,4.569,7.68
0.29600000000000004,4.598,7.69
0.297,4.632,7.685
0.298,4.657,7.685
0.299,4.686,7.69
0.3,4.716,7.685
0.301,4.74,7.68
0.302,4.774,7.685
0.303,4.803,7.68
0.304,4.833,7.69
0.305,4.857,7.685
0.306,4.882,7.685
0.307,4.916,7.69
0.308,4.94,7.685
0.309,4.968999999999999,7.685
0.31,4.994,7.685
0.311,5.0089999999999995,7.68
0.312,5.048,7.685
0.313,5.067,7.68
0.314,5.096,7.69
0.315,5.126,7.69
0.316,5.145,7.69
0.317,5.17,7.69
0.318,5.194,7.685
0.319,5.2139999999999995,7.69
0.32,5.242999999999999,7.69
0.321,5.257999999999999,7.685
0.322,5.292000000000001,7.69
0.32299999999999995,5.311,7.695
0.324,5.331,7.69
0.325,5.36,7.69
0.326,5.375,7.69
0.327,5.404,7.69
0.32799999999999996,5.4239999999999995,7.69
0.32899999999999996,5.443,7.69
0.33,5.473,7.695
0.331,5.482,7.685
0.332,5.5120000000000005,7.69
0.33299999999999996,5.531000000000001,7.695
0.33399999999999996,5.551,7.69
0.335,5.575,7.695
0.336,5.59,7.69
0.337,5.614,7.7
0.33799999999999997,5.629,7.69
0.33899999999999997,5.648,7.69
0.34,5.672999999999999,7.69
0.341,5.692,7.685
0.342,5.712000000000001,7.695
0.34299999999999997,5.726,7.685
0.344,5.746,7.695
0.345,5.77,7.695
0.34600000000000003,5.785,7.69
0.34700000000000003,5.8,7.695
0.348,5.824,7.69
0.349,5.834,7.695
0.35,5.858,7.695
0.35100000000000003,5.872999999999999,7.69
0.35200000000000004,5.893,7.7
0.353,5.912000000000001,7.695
0.354,5.922000000000001,7.69
0.355,5.946000000000001,7.695
0.35600000000000004,5.956,7.69
0.35700000000000004,5.976,7.695
0.358,5.995,7.695
0.359,6.01,7.695
0.36,6.029,7.7
0.361,6.039,7.685
0.36200000000000004,6.053999999999999,7.695
0.363,6.0729999999999995,7.695
0.364,6.082999999999999,7.695
0.365,6.107,7.7
0.366,6.122000000000001,7.695
0.36700000000000005,6.127000000000001,7.7
0.368,6.151,7.695
0.369,6.156000000000001,7.695
0.37,6.181,7.695
0.371,6.19,7.69
0.37200000000000005,6.205,7.695
0.373,6.225,7.7
0.374,6.23,7.695
0.375,6.249,7.695
0.376,6.263999999999999,7.695
0.377,6.278,7.7
0.37799999999999995,6.292999999999999,7.7
0.379,6.297999999999999,7.69
0.38,6.322,7.7
0.381,6.322,7.685
0.382,6.337000000000001,7.7
0.38299999999999995,6.357,7.695
0.384,6.3660000000000005,7.695
0.385,6.376,7.7
0.386,6.396,7.695
0.387,6.405,7.7
0.38799999999999996,6.42,7.7
0.389,6.425,7.7
0.39,6.44,7.7
0.391,6.449,7.695
0.392,6.4639999999999995,7.695
0.39299999999999996,6.479,7.7
0.39399999999999996,6.484,7.695
0.395,6.497999999999999,7.7
0.396,6.513,7.7
0.397,6.518,7.7
0.39799999999999996,6.532,7.705
0.39899999999999997,6.537000000000001,7.695
0.4,6.5520000000000005,7.7
0.401,6.562,7.7
0.402,6.571000000000001,7.7
0.40299999999999997,6.586,7.7
0.40399999999999997,6.586,7.695
0.405,6.606,7.705
0.406,6.611000000000001,7.695
0.40700000000000003,6.62,7.7
0.408,6.64,7.705
0.409,6.645,7.7
0.41,6.654,7.7
0.41100000000000003,6.664,7.695
0.41200000000000003,6.669,7.7
0.413,6.684,7.7
0.414,6.689,7.7
0.415,6.702999999999999,7.705
0.41600000000000004,6.712999999999999,7.7
0.41700000000000004,6.718,7.705
0.418,6.728,7.7
0.419,6.737,7.695
0.42,6.747000000000001,7.705
0.42100000000000004,6.757000000000001,7.7
0.42200000000000004,6.757000000000001,7.7
0.423,6.777,7.705
0.424,6.781000000000001,7.695
0.425,6.791,7.705
0.426,6.801,7.7
0.42700000000000005,6.806,7.705
0.428,6.821000000000001,7.7
0.429,6.825,7.7
0.43,6.83,7.709
0.431,6.84,7.7
0.43200000000000005,6.84,7.7
0.433,6.86,7.7
0.434,6.86,7.695
0.435,6.869,7.7
0.436,6.879,7.7
0.43700000000000006,6.879,7.7
0.43799999999999994,6.899,7.705
0.439,6.899,7.695
0.44,6.904,7.7
0.441,6.912999999999999,7.7
0.442,6.917999999999999,7.7
0.44299999999999995,6.928,7.705
0.444,6.933,7.69
0.445,6.943,7.705
0.446,6.952000000000001,7.7
0.447,6.952000000000001,7.7
0.44799999999999995,6.9670000000000005,7.709
0.449,6.9670000000000005,7.695
0.45,6.972,7.7
0.451,6.982,7.705
0.452,6.982,7.7
0.45299999999999996,6.996,7.709
0.45399999999999996,7.001,7.695
0.455,7.006,7.7
0.456,7.011,7.7
0.457,7.011,7.7
0.45799999999999996,7.026,7.7
0.45899999999999996,7.026,7.7
0.46,7.035,7.7
0.461,7.04,7.7
0.462,7.04,7.695
0.46299999999999997,7.05,7.705
0.46399999999999997,7.06,7.7
0.465,7.06,7.7
0.466,7.07,7.7
