"Laatste: Tijd (ms)";"Laatste: Potential 1 (V)";"Laatste: Potential 2 (V)";"Latest: Time (s)";"Latest: Potential 1 (V)";"Latest: Potential 2 (V)";"Meting 1: Tijd (ms)";"Meting 1: Potential 1 (V)";"Meting 1: Potential 2 (V)";"Meting 2: Tijd (s)";"Meting 2: Potential 1 (V)";"Meting 2: Potential 2 (V)"
0,0;2,430;6,063;0,000;5,629;-0,027;0,000000;7,475;7,705;0,000;-6,967;-7,055
0,2;1,756;5,692;0,004;-7,817;-0,081;0,700000;7,480;7,700;0,001;-6,972;-7,050
0,4;1,038;5,170;0,008;-7,792;-0,056;1,400000;7,475;7,705;0,002;-6,967;-7,055
0,6;0,320;4,457;0,012;-4,037;0,012;2,100000;7,475;7,695;0,003;-6,972;-7,055
0,8;-0,437;3,597;0,016;8,442;0,071;2,800000;7,480;7,700;0,004;-6,967;-7,050
1,0;-1,179;2,625;0,020;7,353;-0,032;3,500000;7,475;7,700;0,005;-6,967;-7,055
1,2;-1,888;1,570;0,024;1,380;-0,066;4,200000;7,485;7,700;0,006;-6,972;-7,055
1,4;-2,513;0,486;0,028;-8,266;-0,051;4,900000;7,475;7,700;0,007;-6,967;-7,045
1,6;-3,074;-0,637;0,032;-6,650;0,017;5,600000;7,485;7,700;0,008;-6,977;-7,050
1,8;-3,534;-1,756;0,036;2,181;0,037;6,300000;7,480;7,705;0,009;-6,962;-7,050
2,0;-3,895;-2,796;0,040;8,110;-0,037;7,000000;7,485;7,700;0,010;-6,972;-7,060
2,2;-4,129;-3,763;0,044;5,531;-0,061;7,700000;7,490;7,705;0,011;-6,972;-7,050
2,4;-4,217;-4,598;0,048;-8,208;-0,042;8,400000;7,485;7,700;0,012;-6,967;-7,055
2,6;-4,164;-5,267;0,052;-7,778;0,017;9,100000;7,485;7,700;0,013;-6,972;-7,055
2,8;-3,963;-5,746;0,056;-3,968;0,037;9,800000;7,485;7,700;0,014;-6,972;-7,050
3,0;-3,631;-6,000;0,060;8,437;-0,032;10,500000;7,490;7,700;0,015;-6,967;-7,050
3,2;-3,114;-6,005;0,064;7,319;-0,071;11,200000;7,490;7,705;0,016;-6,972;-7,050
3,4;-2,488;-5,805;0,068;1,194;-0,017;11,900000;7,490;7,695;0,017;-6,967;-7,050
3,6;-1,790;-5,394;0,072;-8,252;0,017;12,600000;7,495;7,700;0,018;-6,972;-7,055
3,8;-1,028;-4,764;0,076;-6,611;0,042;13,300000;7,485;7,700;0,019;-6,967;-7,045
4,0;-0,212;-3,983;0,080;2,454;-0,061;14,000000;7,499;7,700;0,020;-6,972;-7,055
4,2;0,579;-3,045;0,084;8,090;-0,076;14,700000;7,495;7,700;0,021;-6,972;-7,060
4,4;1,355;-2,044;0,088;5,458;-0,027;15,400000;7,495;7,700;0,022;-6,972;-7,050
4,6;2,049;-0,930;0,092;-8,457;0,037;16,100000;7,499;7,705;0,023;-6,977;-7,055
4,8;2,698;0,198;0,096;-7,753;0,046;16,800000;7,490;7,700;0,024;-6,967;-7,045
5,0;3,241;1,326;0,100;-3,827;-0,066;17,500000;7,499;7,705;0,025;-6,972;-7,050
5,2;3,661;2,410;0,104;8,432;-0,066;18,200000;7,495;7,700;0,026;-6,972;-7,050
5,4;3,958;3,411;0,108;7,289;-0,032;18,900000;7,499;7,700;0,027;-6,967;-7,050
5,6;4,115;4,295;0,112;0,974;0,056;19,600000;7,499;7,705;0,028;-6,972;-7,055
5,8;4,134;5,043;0,116;-8,242;0,046;20,300000;7,495;7,690;0,029;-6,967;-7,050
6,0;4,012;5,634;0,120;-6,562;-0,071;21,000000;7,504;7,705;0,030;-6,972;-7,055
6,2;3,763;6,044;0,124;2,772;-0,110;21,700000;7,499;7,695;0,031;-6,972;-7,055
6,4;3,407;6,239;0,128;8,081;-0,027;22,400000;7,504;7,700;0,032;-6,967;-7,055
6,6;2,879;6,215;0,132;5,360;0,056;23,100000;7,499;7,700;0,033;-6,977;-7,060
6,8;2,278;6,000;0,136;-8,457;0,071;23,800000;7,504;7,700;0,034;-6,967;-7,050
7,0;1,609;5,590;0,140;-7,734;-0,056;24,500000;7,504;7,700;0,035;-6,972;-7,060
7,2;0,886;5,028;0,144;-3,719;-0,100;25,200000;7,509;7,690;0,036;-6,972;-7,050
7,4;0,149;4,276;0,148;8,427;-0,027;25,900000;7,509;7,705;0,037;-6,967;-7,050
7,6;-0,603;3,397;0,152;7,250;0,051;26,600000;7,504;7,700;0,038;-6,977;-7,055
7,8;-1,336;2,391;0,156;0,857;0,085;27,300000;7,509;7,700;0,039;-6,967;-7,050
8,0;-2,029;1,350;0,160;-8,232;-0,056;28,000000;7,509;7,705;0,040;-6,972;-7,050
8,2;-2,640;0,242;0,164;-6,498;-0,090;28,700000;7,514;7,705;0,041;-6,972;-7,050
8,4;-3,172;-0,877;0,168;2,996;-0,051;29,400000;7,509;7,705;0,042;-6,972;-7,055
8,6;-3,621;-1,980;0,172;8,066;0,046;30,100000;7,509;7,695;0,043;-6,977;-7,055
8,8;-3,958;-3,026;0,176;5,297;0,076;30,800000;7,514;7,705;0,044;-6,972;-7,045
9,0;-4,159;-3,963;0,180;-8,452;-0,046;31,500000;7,509;7,695;0,045;-6,972;-7,055
9,2;-4,222;-4,764;0,184;-7,700;-0,090;32,200000;7,514;7,700;0,046;-6,977;-7,050
9,4;-4,134;-5,389;0,188;-3,592;-0,051;32,900000;7,509;7,700;0,047;-6,967;-7,050
9,6;-3,900;-5,819;0,192;8,422;0,051;33,600000;7,514;7,695;0,048;-6,972;-7,055
9,8;-3,534;-6,020;0,196;7,231;0,081;34,300000;7,514;7,705;0,049;-6,972;-7,050
10,0;-2,982;-5,980;0,200;0,589;-0,027;35,000000;7,514;7,700;0,050;-6,972;-7,060
10,2;-2,342;-5,736;0,204;-8,227;-0,100;35,700000;7,524;7,700;0,051;-6,972;-7,050
10,4;-1,629;-5,272;0,208;-6,454;-0,056;36,400000;7,519;7,700;0,052;-6,967;-7,055
10,6;-0,847;-4,608;0,212;3,368;0,012;37,100000;7,519;7,705;0,053;-6,977;-7,060
10,8;-0,046;-3,802;0,216;8,061;0,071;37,800000;7,519;7,705;0,054;-6,972;-7,050
11,0;0,750;-2,830;0,220;5,194;-0,027;38,500000;7,524;7,700;0,055;-6,977;-7,055
11,2;1,516;-1,800;0,224;-8,447;-0,081;39,200000;7,519;7,700;0,056;-6,972;-7,050
11,4;2,205;-0,676;0,228;-7,690;-0,061;39,900000;7,524;7,695;0,057;-6,967;-7,050
11,6;2,830;0,452;0,232;-3,446;0,002;40,600000;7,529;7,705;0,058;-6,977;-7,050
11,8;3,343;1,575;0,236;8,418;0,071;41,300000;7,519;7,700;0,059;-6,972;-7,050
12,0;3,734;2,640;0,240;7,187;-0,037;42,000000;7,524;7,705;0,060;-6,977;-7,055
12,2;4,002;3,607;0,244;0,413;-0,056;42,700000;7,524;7,705;0,061;-6,977;-7,055
12,4;4,129;4,471;0,248;-8,212;-0,051;43,400000;7,524;7,700;0,062;-6,972;-7,055
12,6;4,115;5,189;0,252;-6,386;0,012;44,100000;7,529;7,700;0,063;-6,977;-7,055
12,8;3,973;5,736;0,256;3,587;0,046;44,800000;7,524;7,700;0,064;-6,967;-7,045
13,0;3,700;6,122;0,260;8,032;-0,027;45,500000;7,534;7,705;0,065;-6,972;-7,055
13,2;3,294;6,254;0,264;5,096;-0,066;46,200000;7,524;7,700;0,066;-6,972;-7,050
13,4;2,752;6,190;0,268;-8,447;-0,046;46,900000;7,529;7,700;0,067;-6,972;-7,050
13,6;2,127;5,927;0,272;-7,656;0,022;47,600000;7,529;7,705;0,068;-6,972;-7,055
13,8;1,438;5,473;0,276;-3,353;0,037;48,300000;7,524;7,695;0,069;-6,967;-7,050
14,0;0,730;4,867;0,280;8,403;-0,037;49,000000;7,534;7,705;0,070;-6,972;-7,060
14,2;-0,027;4,090;0,284;7,138;-0,066;49,700000;7,529;7,700;0,071;-6,977;-7,055
14,4;-0,764;3,192;0,288;0,217;-0,007;50,400000;7,529;7,700;0,072;-6,972;-7,055
14,6;-1,497;2,171;0,292;-8,208;0,017;51,100000;7,529;7,700;0,073;-6,977;-7,055
14,8;-2,166;1,106;0,296;-6,347;0,042;51,800000;7,534;7,705;0,074;-6,972;-7,050
15,0;-2,762;0,002;0,300;3,968;-0,076;52,500000;7,534;7,700;0,075;-6,972;-7,055
15,2;-3,284;-1,131;0,304;8,017;-0,081;53,200000;7,534;7,690;0,076;-6,972;-7,050
15,4;-3,705;-2,225;0,308;5,033;-0,022;53,900000;7,538;7,700;0,077;-6,972;-7,050
15,6;-4,017;-3,250;0,312;-8,437;0,027;54,600000;7,534;7,700;0,078;-6,977;-7,055
15,8;-4,188;-4,159;0,316;-7,636;0,046;55,300000;7,538;7,705;0,079;-6,972;-7,055
16,0;-4,212;-4,911;0,320;-3,182;-0,066;56,000000;7,534;7,705;0,080;-6,977;-7,060
16,2;-4,085;-5,497;0,324;8,393;-0,066;56,700000;7,538;7,709;0,081;-6,977;-7,055
16,4;-3,827;-5,888;0,328;7,104;-0,022;57,400000;7,534;7,709;0,082;-6,972;-7,055
16,6;-3,411;-6,024;0,332;-0,061;0,051;58,100000;7,538;7,690;0,083;-6,977;-7,055
16,8;-2,850;-5,941;0,336;-8,193;0,042;58,800000;7,548;7,705;0,084;-6,972;-7,055
17,0;-2,186;-5,648;0,340;-6,278;-0,066;59,500000;7,538;7,700;0,085;-6,972;-7,055
17,2;-1,468;-5,140;0,344;4,208;-0,100;60,200000;7,543;7,700;0,086;-6,977;-7,050
17,4;-0,667;-4,437;0,348;8,012;-0,022;60,900000;7,538;7,705;0,087;-6,972;-7,055
17,6;0,134;-3,582;0,352;4,911;0,051;61,600000;7,543;7,700;0,088;-6,982;-7,055
17,8;0,940;-2,596;0,356;-8,432;0,046;62,300000;7,538;7,705;0,089;-6,972;-7,050
18,0;1,673;-1,551;0,360;-7,617;-0,061;63,000000;7,543;7,700;0,090;-6,972;-7,060
18,2;2,357;-0,422;0,364;-3,079;-0,115;63,700000;7,548;7,705;0,091;-6,977;-7,055
18,4;2,957;0,706;0,368;8,393;-0,027;64,400000;7,538;7,705;0,092;-6,972;-7,055
18,6;3,441;1,810;0,372;7,070;0,051;65,100000;7,548;7,705;0,093;-6,982;-7,055
18,8;3,812;2,860;0,376;-0,154;0,085;65,800000;7,543;7,705;0,094;-6,972;-7,050
19,0;4,042;3,812;0,380;-8,183;-0,066;66,500000;7,548;7,705;0,095;-6,977;-7,060
19,2;4,144;4,642;0,384;-6,239;-0,100;67,200000;7,543;7,705;0,096;-6,977;-7,050
19,4;4,100;5,321;0,388;4,505;-0,061;67,900000;7,543;7,700;0,097;-6,972;-7,050
19,6;3,919;5,839;0,392;7,988;0,046;68,600000;7,548;7,705;0,098;-6,982;-7,055
19,8;3,621;6,171;0,396;4,877;0,085;69,300000;7,543;7,700;0,099;-6,977;-7,050
20,0;3,182;6,254;0,400;-8,427;-0,056;70,000000;7,548;7,700;0,100;-6,977;-7,060
;;;0,404;-7,587;-0,095;70,700000;7,543;7,700;0,101;-6,977;-7,055
;;;0,408;-2,947;-0,061;71,400000;7,548;7,700;0,102;-6,972;-7,055
;;;0,412;8,383;0,042;72,100000;7,548;7,705;0,103;-6,982;-7,060
;;;0,416;7,040;0,066;72,800000;7,548;7,700;0,104;-6,972;-7,045
;;;0,420;-0,388;-0,022;73,500000;7,553;7,700;0,105;-6,977;-7,055
;;;0,424;-8,168;-0,095;74,200000;7,548;7,695;0,106;-6,977;-7,050
;;;0,428;-6,181;-0,051;74,900000;7,553;7,705;0,107;-6,972;-7,050
;;;0,432;4,818;0,017;75,600000;7,548;7,709;0,108;-6,982;-7,050
;;;0,436;7,978;0,076;76,300000;7,548;7,700;0,109;-6,972;-7,045
;;;0,440;4,764;-0,032;77,000000;7,558;7,705;0,110;-6,977;-7,060
;;;0,444;-8,422;-0,095;77,700000;7,548;7,700;0,111;-6,977;-7,055
;;;0,448;-7,568;-0,051;78,400000;7,553;7,705;0,112;-6,977;-7,055
;;;0,452;-2,791;0,017;79,100000;7,553;7,705;0,113;-6,977;-7,060
;;;0,456;8,388;0,081;79,800000;7,558;7,705;0,114;-6,977;-7,050
;;;0,460;6,996;-0,032;80,500000;7,553;7,709;0,115;-6,972;-7,055
;;;0,464;-0,564;-0,061;81,200000;7,548;7,695;0,116;-6,977;-7,055
;;;0,468;-8,168;-0,051;81,900000;7,558;7,705;0,117;-6,972;-7,050
;;;0,472;-6,142;0,012;82,600000;7,553;7,700;0,118;-6,972;-7,055
;;;0,476;5,018;0,046;83,300000;7,558;7,700;0,119;-6,972;-7,050
;;;0,480;7,963;-0,027;84,000000;7,553;7,705;0,120;-6,977;-7,050
;;;0,484;4,672;-0,061;84,700000;7,558;7,695;0,121;-6,982;-7,055
;;;0,488;-8,422;-0,051;85,400000;7,563;7,705;0,122;-6,972;-7,055
;;;0,492;-7,543;0,022;86,100000;7,553;7,700;0,123;-6,977;-7,060
;;;0,496;-2,718;0,037;86,800000;7,563;7,700;0,124;-6,977;-7,050
;;;0,500;8,379;-0,037;87,500000;7,558;7,700;0,125;-6,972;-7,050
;;;0,504;6,957;-0,066;88,200000;7,558;7,700;0,126;-6,982;-7,050
;;;0,508;-0,794;-0,012;88,900000;7,558;7,705;0,127;-6,967;-7,045
;;;0,512;-8,149;0,022;89,600000;7,558;7,700;0,128;-6,972;-7,055
;;;0,516;-6,078;0,046;90,300000;7,563;7,709;0,129;-6,977;-7,050
;;;0,520;5,346;-0,071;91,000000;7,563;7,700;0,130;-6,972;-7,055
;;;0,524;7,934;-0,076;91,700000;7,563;7,700;0,131;-6,982;-7,060
;;;0,528;4,598;-0,017;92,400000;7,558;7,700;0,132;-6,972;-7,055
;;;0,532;-8,418;0,017;93,100000;7,563;7,705;0,133;-6,977;-7,060
;;;0,536;-7,519;0,046;93,800000;7,563;7,709;0,134;-6,977;-7,050
;;;0,540;-2,557;-0,071;94,500000;7,563;7,705;0,135;-6,972;-7,055
;;;0,544;8,359;-0,066;95,200000;7,568;7,705;0,136;-6,977;-7,050
;;;0,548;6,923;-0,027;95,900000;7,563;7,700;0,137;-6,967;-7,050
;;;0,552;-1,053;0,056;96,600000;7,568;7,700;0,138;-6,972;-6,889
;;;0,556;-8,149;0,046;97,300000;7,563;7,705;0,139;-6,894;7,641
;;;0,560;-6,015;-0,066;98,000000;7,573;7,705;0,140;-6,747;7,631
;;;0,564;5,639;-0,100;98,700000;7,568;7,709;0,141;-6,606;7,636
;;;0,568;7,929;-0,027;99,400000;7,563;7,700;0,142;-6,459;7,641
;;;0,572;4,486;0,046;100,100000;7,568;7,709;0,143;-6,327;7,631
;;;0,576;-8,413;0,051;100,800000;7,563;7,700;0,144;-6,186;7,631
;;;0,580;-7,499;-0,066;101,500000;7,573;7,700;0,145;-6,044;7,636
;;;0,584;-2,420;-0,110;102,200000;7,563;7,705;0,146;-5,907;7,636
;;;0,588;8,354;-0,027;102,900000;7,568;7,700;0,147;-5,775;7,641
;;;0,592;6,874;0,042;103,600000;7,568;7,709;0,148;-5,639;7,636
;;;0,596;-1,199;0,081;104,300000;7,568;7,700;0,149;-5,507;7,636
;;;0,600;-8,129;-0,061;105,000000;7,573;7,700;0,150;-5,375;7,636
;;;0,604;-5,946;-0,100;105,700000;7,563;7,705;0,151;-5,253;7,626
;;;0,608;5,897;-0,042;106,400000;7,573;7,700;0,152;-5,121;7,641
;;;0,612;7,900;0,051;107,100000;7,573;7,709;0,153;-4,994;7,636
;;;0,616;4,418;0,085;107,800000;7,578;7,700;0,154;-4,872;7,641
;;;0,620;-8,413;-0,066;108,500000;7,573;7,705;0,155;-4,745;7,641
;;;0,624;-7,470;-0,105;109,200000;7,568;7,700;0,156;-4,628;7,641
;;;0,628;-2,303;-0,056;109,900000;7,573;7,700;0,157;-4,501;7,641
;;;0,632;8,349;0,046;110,600000;7,573;7,700;0,158;-4,379;7,641
;;;0,636;6,850;0,085;111,300000;7,573;7,705;0,159;-4,261;7,636
;;;0,640;-1,414;-0,022;112,000000;7,573;7,705;0,160;-4,139;7,641
;;;0,644;-8,125;-0,100;112,700000;7,573;7,700;0,161;-4,022;7,636
;;;0,648;-5,897;-0,061;113,400000;7,578;7,705;0,162;-3,910;7,641
;;;0,652;6,264;0,022;114,100000;7,568;7,700;0,163;-3,792;7,641
;;;0,656;7,905;0,076;114,800000;7,573;7,700;0,164;-3,685;7,641
;;;0,660;4,315;-0,017;115,500000;7,568;7,705;0,165;-3,563;7,641
;;;0,664;-8,398;-0,095;116,200000;7,578;7,705;0,166;-3,460;7,636
;;;0,668;-7,451;-0,051;116,900000;7,578;7,709;0,167;-3,348;7,641
;;;0,672;-2,147;0,017;117,600000;7,573;7,700;0,168;-3,236;7,641
;;;0,676;8,349;0,066;118,300000;7,573;7,700;0,169;-3,133;7,641
;;;0,680;6,806;-0,027;119,000000;7,573;7,700;0,170;-3,021;7,646
;;;0,684;-1,639;-0,061;119,700000;7,582;7,705;0,171;-2,913;7,636
;;;0,688;-8,110;-0,046;120,400000;7,573;7,700;0,172;-2,816;7,641
;;;0,692;-5,824;0,017;121,100000;7,573;7,700;0,173;-2,708;7,641
;;;0,696;6,508;0,056;121,800000;7,578;7,705;0,174;-2,606;7,636
;;;0,700;7,875;-0,027;122,500000;7,582;7,700;0,175;-2,503;7,651
;;;0,704;4,222;-0,061;123,200000;7,582;7,705;0,176;-2,400;7,646
;;;0,708;-8,398;-0,046;123,900000;7,573;7,705;0,177;-2,303;7,651
;;;0,712;-7,416;0,022;124,600000;7,582;7,705;0,178;-2,200;7,646
;;;0,716;-2,010;0,042;125,300000;7,573;7,700;0,179;-2,107;7,651
;;;0,720;8,344;-0,027;126,000000;7,578;7,700;0,180;-2,010;7,651
;;;0,724;6,762;-0,056;126,700000;7,578;7,709;0,181;-1,912;7,651
;;;0,728;-1,873;-0,012;127,400000;7,582;7,705;0,182;-1,819;7,651
;;;0,732;-8,100;0,022;128,100000;7,582;7,700;0,183;-1,726;7,651
;;;0,736;-5,775;0,042;128,800000;7,573;7,700;0,184;-1,634;7,646
;;;0,740;6,855;-0,061;129,500000;7,582;7,705;0,185;-1,541;7,651
;;;0,744;7,856;-0,066;130,200000;7,582;7,700;0,186;-1,448;7,651
;;;0,748;4,115;-0,017;130,900000;7,582;7,695;0,187;-1,360;7,651
;;;0,752;-8,388;0,022;131,600000;7,582;7,705;0,188;-1,263;7,656
;;;0,756;-7,387;0,046;132,300000;7,573;7,700;0,189;-1,175;7,646
;;;0,760;-1,814;-0,066;133,000000;7,582;7,705;0,190;-1,092;7,656
;;;0,764;8,330;-0,071;133,700000;7,582;7,705;0,191;-1,004;7,651
;;;0,768;6,708;-0,022;134,400000;7,582;7,700;0,192;-0,926;7,651
;;;0,772;-2,230;0,051;135,100000;7,582;7,705;0,193;-0,833;7,656
;;;0,776;-8,085;0,046;135,800000;7,582;7,695;0,194;-0,750;7,646
;;;0,780;-5,692;-0,066;136,500000;7,582;7,705;0,195;-0,672;7,651
;;;0,784;7,226;-0,085;137,200000;7,578;7,700;0,196;-0,584;7,656
;;;0,788;7,832;-0,022;137,900000;7,587;7,705;0,197;-0,505;7,651
;;;0,792;3,968;0,061;138,600000;7,582;7,705;0,198;-0,422;7,656
;;;0,796;-8,383;0,051;139,300000;7,587;7,700;0,199;-0,344;7,661
;;;0,800;-7,363;-0,066;140,000000;7,587;7,709;0,200;-0,266;7,656
;;;0,804;-1,648;-0,110;140,700000;7,587;7,700;0,201;-0,183;7,656
;;;0,808;8,325;-0,027;141,400000;7,587;7,705;0,202;-0,110;7,651
;;;0,812;6,654;0,051;142,100000;7,582;7,700;0,203;-0,032;7,661
;;;0,816;-2,381;0,081;142,800000;7,587;7,700;0,204;0,046;7,656
;;;0,820;-8,071;-0,056;143,500000;7,587;7,705;0,205;0,120;7,665
;;;0,824;-5,629;-0,100;144,200000;7,587;7,700;0,206;0,198;7,661
;;;0,828;7,543;-0,046;144,900000;7,582;7,705;0,207;0,266;7,661
;;;0,832;7,807;0,046;145,600000;7,587;7,700;0,208;0,344;7,661
;;;0,836;3,900;0,076;146,300000;7,592;7,705;0,209;0,413;7,656
;;;0,840;-8,383;-0,061;147,000000;7,582;7,705;0,210;0,486;7,661
;;;0,844;-7,324;-0,100;147,700000;7,592;7,700;0,211;0,559;7,661
;;;0,848;-1,516;-0,056;148,400000;7,587;7,705;0,212;0,623;7,661
;;;0,852;8,310;0,046;149,100000;7,582;7,695;0,213;0,696;7,665
;;;0,856;6,625;0,076;149,800000;7,592;7,709;0,214;0,764;7,661
;;;0,860;-2,762;-0,027;150,500000;7,587;7,700;0,215;0,828;7,656
;;;0,864;-8,061;-0,095;151,200000;7,592;7,700;0,216;0,906;7,661
;;;0,868;-5,551;-0,056;151,900000;7,587;7,705;0,217;0,969;7,661
;;;0,872;7,885;0,032;152,600000;7,587;7,705;0,218;1,033;7,670
;;;0,876;7,792;0,071;153,300000;7,592;7,705;0,219;1,101;7,665
;;;0,880;3,739;-0,022;154,000000;7,587;7,700;0,220;1,160;7,661
;;;0,884;-8,374;-0,095;154,700000;7,592;7,705;0,221;1,228;7,661
;;;0,888;-7,294;-0,051;155,400000;7,587;7,705;0,222;1,292;7,661
;;;0,892;-1,287;0,017;156,100000;7,592;7,705;0,223;1,355;7,665
;;;0,896;8,300;0,076;156,800000;7,592;7,705;0,224;1,419;7,670
;;;0,900;6,557;-0,027;157,500000;7,597;7,700;0,225;1,477;7,665
;;;0,904;-2,977;-0,056;158,200000;7,587;7,705;0,226;1,541;7,670
;;;0,908;-8,046;-0,056;158,900000;7,592;7,700;0,227;1,600;7,665
;;;0,912;-5,463;0,017;159,600000;7,592;7,705;0,228;1,658;7,670
;;;0,916;8,256;0,056;160,300000;7,587;7,700;0,229;1,722;7,665
;;;0,920;7,773;-0,027;161,000000;7,592;7,700;0,230;1,775;7,665
;;;0,924;3,636;-0,056;161,700000;7,592;7,705;0,231;1,839;7,665
;;;0,928;-8,369;-0,051;162,400000;7,592;7,700;0,232;1,893;7,665
;;;0,932;-7,270;0,012;163,100000;7,592;7,705;0,233;1,946;7,665
;;;0,936;-1,140;0,037;163,800000;7,592;7,705;0,234;2,010;7,670
;;;0,940;8,291;-0,027;164,500000;7,597;7,705;0,235;2,059;7,661
;;;0,944;6,508;-0,066;165,200000;7,592;7,700;0,236;2,122;7,670
;;;0,948;-3,245;-0,017;165,900000;7,592;7,700;0,237;2,176;7,665
;;;0,952;-8,032;0,032;166,600000;7,592;7,705;0,238;2,225;7,670
;;;0,956;-5,399;0,042;167,300000;7,592;7,700;0,239;2,283;7,670
;;;0,960;8,510;-0,051;168,000000;7,597;7,705;0,240;2,327;7,665
;;;0,964;7,744;-0,066;168,700000;7,592;7,700;0,241;2,386;7,670
;;;0,968;3,529;-0,017;169,400000;7,597;7,700;0,242;2,435;7,665
;;;0,972;-8,359;0,027;170,100000;7,592;7,705;0,243;2,484;7,670
;;;0,976;-7,226;0,046;170,800000;7,597;7,700;0,244;2,537;7,670
;;;0,980;-0,926;-0,056;171,500000;7,597;7,705;0,245;2,586;7,670
;;;0,984;8,281;-0,066;172,200000;7,592;7,695;0,246;2,640;7,675
;;;0,988;6,464;-0,017;172,900000;7,597;7,700;0,247;2,694;7,675
;;;0,992;-3,578;0,056;173,600000;7,597;7,700;0,248;2,737;7,670
;;;0,996;-8,012;0,042;174,300000;7,597;7,700;0,249;2,791;7,675
;;;1,000;-5,306;-0,066;175,000000;7,597;7,700;0,250;2,830;7,665
;;;1,004;8,510;-0,081;175,700000;7,597;7,705;0,251;2,884;7,675
;;;1,008;7,739;-0,022;176,400000;7,597;7,705;0,252;2,928;7,670
;;;1,012;3,348;0,061;177,100000;7,592;7,700;0,253;2,977;7,670
;;;1,016;-8,359;0,046;177,800000;7,597;7,705;0,254;3,026;7,675
;;;1,020;-7,192;-0,061;178,500000;7,592;7,705;0,255;3,070;7,675
;;;1,024;-0,759;-0,105;179,200000;7,597;7,700;0,256;3,114;7,675
;;;1,028;8,271;-0,032;179,900000;7,597;7,705;0,257;3,158;7,675
;;;1,032;6,391;0,051;180,600000;7,597;7,700;0,258;3,201;7,675
;;;1,036;-3,836;0,076;181,300000;7,597;7,700;0,259;3,250;7,675
;;;1,040;-7,998;-0,056;182,000000;7,592;7,700;0,260;3,284;7,670
;;;1,044;-5,228;-0,100;182,700000;7,597;7,705;0,261;3,333;7,675
;;;1,048;8,505;-0,042;183,400000;7,592;7,700;0,262;3,377;7,680
;;;1,052;7,690;0,042;184,100000;7,597;7,705;0,263;3,416;7,675
;;;1,056;3,260;0,076;184,800000;7,602;7,705;0,264;3,460;7,680
;;;1,060;-8,349;-0,061;185,500000;7,602;7,700;0,265;3,499;7,675
;;;1,064;-7,153;-0,100;186,200000;7,602;7,700;0,266;3,538;7,675
;;;1,068;-0,535;-0,066;186,900000;7,592;7,705;0,267;3,582;7,675
;;;1,072;8,256;0,051;187,600000;7,602;7,709;0,268;3,621;7,680
;;;1,076;6,342;0,076;188,300000;7,592;7,705;0,269;3,665;7,680
;;;1,080;-4,203;-0,032;189,000000;7,597;7,700;0,270;3,695;7,670
;;;1,084;-7,983;-0,095;189,700000;7,597;7,705;0,271;3,739;7,680
;;;1,088;-5,136;-0,061;190,400000;7,597;7,700;0,272;3,783;7,680
;;;1,092;8,496;0,032;191,100000;7,597;7,705;0,273;3,812;7,680
;;;1,096;7,675;0,076;191,800000;7,592;7,700;0,274;3,861;7,685
;;;1,100;3,089;-0,022;192,500000;7,602;7,705;0,275;3,890;7,675
;;;1,104;-8,339;-0,090;193,200000;7,597;7,705;0,276;3,934;7,680
;;;1,108;-7,109;-0,056;193,900000;7,602;7,700;0,277;3,968;7,680
;;;1,112;-0,281;0,012;194,600000;7,607;7,709;0,278;3,998;7,680
;;;1,116;8,247;0,066;195,300000;7,597;7,700;0,279;4,046;7,685
;;;1,120;6,269;-0,037;196,000000;7,607;7,709;0,280;4,076;7,675
;;;1,124;-4,559;-0,071;196,700000;7,602;7,705;0,281;4,105;7,680
;;;1,128;-7,958;-0,056;197,400000;7,602;7,705;0,282;4,144;7,680
;;;1,132;-5,018;0,017;198,100000;7,597;7,705;0,283;4,173;7,670
;;;1,136;8,501;0,066;198,800000;7,602;7,705;0,284;4,212;7,685
;;;1,140;7,641;-0,027;199,500000;7,602;7,705;0,285;4,252;7,680
;;;1,144;2,913;-0,061;200,200000;7,602;7,700;0,286;4,281;7,680
;;;1,148;-8,335;-0,051;200,900000;7,602;7,705;0,287;4,320;7,685
;;;1,152;-7,065;0,017;201,600000;7,597;7,700;0,288;4,349;7,675
;;;1,156;-0,095;0,042;202,300000;7,602;7,700;0,289;4,379;7,685
;;;1,160;8,237;-0,032;203,000000;7,597;7,705;0,290;4,413;7,680
;;;1,164;6,195;-0,066;203,700000;7,602;7,695;0,291;4,437;7,680
;;;1,168;-4,926;-0,022;204,400000;7,602;7,705;0,292;4,476;7,680
;;;1,172;-7,944;0,027;205,100000;7,597;7,700;0,293;4,505;7,685
;;;1,176;-4,940;0,042;205,800000;7,607;7,705;0,294;4,540;7,685
;;;1,180;8,491;-0,042;206,500000;7,602;7,705;0,295;4,569;7,680
;;;1,184;7,612;-0,071;207,200000;7,607;7,705;0,296;4,598;7,690
;;;1,188;2,762;-0,027;207,900000;7,607;7,709;0,297;4,632;7,685
;;;1,192;-8,325;0,022;208,600000;7,607;7,700;0,298;4,657;7,685
;;;1,196;-7,026;0,042;209,300000;7,607;7,705;0,299;4,686;7,690
;;;1,200;0,237;-0,071;210,000000;7,597;7,700;0,300;4,716;7,685
;;;1,204;8,227;-0,061;210,700000;7,607;7,709;0,301;4,740;7,680
;;;1,208;6,132;-0,017;211,400000;7,602;7,705;0,302;4,774;7,685
